"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_wickets","winner_runs","method","outcome","player_of_match"
1197766,6,"Auckland","Northern Districts","male","2019/20",2020-01-10,"Super Smash","26","Eden Park Outer Oval","Auckland","Northern Districts","field","JAK Bromley","JM Dempsey","Damian Morrow","A Mehrotra","RA Dykes","Northern Districts",3,NA,NA,NA,NA
1197767,6,"Central Districts","Otago","male","2019/20",2020-01-11,"Super Smash","27","University Oval","Dunedin","Central Districts","bat","ED Sanders","SB Haig","SJ Kannan","JAK Bromley",NA,"Otago",9,NA,NA,NA,NA
1197768,6,"Canterbury","Northern Districts","male","2019/20",2020-01-12,"Super Smash","28","Bay Oval","Mount Maunganui","Canterbury","bat","GA Stirrat","TJ Parlane",NA,NA,"GAV Baxter","Northern Districts",5,NA,NA,NA,NA
1197769,6,"Wellington","Auckland","male","2019/20",2020-01-12,"Super Smash","29","Basin Reserve","Wellington","Wellington","bat","BF Bowden","JM Dempsey","Tyron Davies","Kim Cotton","K Pulley","Auckland",6,NA,NA,NA,NA
1197770,6,"Otago","Canterbury","male","2019/20",2020-01-14,"Super Smash","30","Hagley Oval","Christchurch","Otago","bat","CM Brown","JAK Bromley","Damian Morrow","Kim Cotton",NA,"Canterbury",6,NA,NA,NA,NA
1197771,6,"Otago","Auckland","male","2019/20",2020-01-17,"Super Smash",NA,"University Oval","Dunedin","Auckland","field","CM Brown","SB Haig","KS Jagannathan","A Mehrotra","RA Dykes","Auckland",3,NA,NA,NA,NA
1197772,6,"Wellington","Auckland","male","2019/20",2020-01-19,"Super Smash",NA,"Basin Reserve","Wellington","Auckland","field","CM Brown","SB Haig",NA,"A Mehrotra","RA Dykes","Wellington",NA,22,NA,NA,NA
1233997,6,"Auckland","Wellington","male","2020/21",2020-12-24,"Super Smash","1","Basin Reserve","Wellington","Wellington","field","BF Bowden","Kim Cotton","A Stanley","GA Stirrat","RE Hayward","Wellington",4,NA,NA,NA,NA
1233998,6,"Wellington","Central Districts","male","2020/21",2020-12-27,"Super Smash","2","McLean Park","Napier","Central Districts","field","BF Bowden","GA Stirrat","Glen Walklin","A Mehrotra","EJ Gray","Wellington",NA,39,NA,NA,NA
1233999,6,"Otago","Auckland","male","2020/21",2020-12-28,"Super Smash","3","Molyneux Park","Alexandra","Auckland","field","JAK Bromley","KS Jagannathan",NA,NA,"AL Hill","Otago",NA,45,NA,NA,NA
1234000,6,"Canterbury","Otago","male","2020/21",2020-12-29,"Super Smash","4","Molyneux Park","Alexandra","Canterbury","bat","JAK Bromley","KS Jagannathan",NA,NA,"AL Hill","Canterbury",NA,61,NA,NA,NA
1234001,6,"Central Districts","Northern Districts","male","2020/21",2020-12-30,"Super Smash","5","Pukekura Park","New Plymouth","Central Districts","bat","A Mehrotra","JM Dempsey","A Stanley","Kim Cotton","PA Horne","Central Districts",NA,45,NA,NA,NA
1234002,6,"Central Districts","Auckland","male","2020/21",2020-12-31,"Super Smash","6","Pukekura Park","New Plymouth","Central Districts","bat","JM Dempsey","Kim Cotton",NA,"A Mehrotra","PA Horne","Central Districts",NA,70,NA,NA,NA
1234003,6,"Northern Districts","Wellington","male","2020/21",2021-01-01,"Super Smash","7","Bay Oval","Mount Maunganui","Wellington","field","Damian Morrow","TJ Parlane","Lui Els","GA Stirrat","KD Earl","Wellington",9,NA,NA,NA,NA
1234004,6,"Northern Districts","Otago","male","2020/21",2021-01-02,"Super Smash","8","Bay Oval","Mount Maunganui","Otago","field","GA Stirrat","TJ Parlane","Lui Els","Damian Morrow","KD Earl","Otago",2,NA,NA,NA,NA
1234005,6,"Auckland","Canterbury","male","2020/21",2021-01-03,"Super Smash","9","Eden Park Outer Oval","Auckland","Canterbury","field","A Mehrotra","JAK Bromley",NA,NA,"RE Hayward","Canterbury",10,NA,NA,NA,NA
1234006,6,"Central Districts","Northern Districts","male","2020/21",2021-01-04,"Super Smash","10","Seddon Park","Hamilton","Northern Districts","field","Glen Walklin","JM Dempsey",NA,NA,"GB Troup","Northern Districts",6,NA,NA,NA,NA
1234007,6,"Central Districts","Otago","male","2020/21",2021-01-08,"Super Smash","11","University Oval","Dunedin","Otago","field","DJ Walker","JAK Bromley","PJ Pasco","Kim Cotton","GAV Baxter","Central Districts",NA,53,NA,NA,NA
1234008,6,"Wellington","Northern Districts","male","2020/21",2021-01-09,"Super Smash","12","Basin Reserve","Wellington","Northern Districts","field","BF Bowden","TJ Parlane","Tyron Davies","C Black","RE Hayward","Wellington",NA,80,NA,NA,NA
1234009,6,"Central Districts","Canterbury","male","2020/21",2021-01-10,"Super Smash","13","Hagley Oval","Christchurch","Central Districts","bat","DJ Walker","JM Dempsey","Glen Walklin","Kim Cotton","GAV Baxter","Central Districts",NA,18,NA,NA,NA
1234010,6,"Canterbury","Auckland","male","2020/21",2021-01-11,"Super Smash","14","Hagley Oval","Christchurch","Canterbury","bat","Kim Cotton","Lui Els","DJ Walker","A Mehrotra","RE Hayward","Canterbury",NA,6,NA,NA,NA
1234011,6,"Otago","Wellington","male","2020/21",2021-01-14,"Super Smash","15","University Oval","Dunedin","Otago","bat","CM Brown","SB Haig","KS Jagannathan","DJ Walker","GAV Baxter","Wellington",5,NA,NA,NA,NA
1234012,6,"Northern Districts","Canterbury","male","2020/21",2021-01-15,"Super Smash","16","Hagley Oval","Christchurch","Northern Districts","bat","JAK Bromley","TJ Parlane","Damian Morrow","A Mehrotra","RE Hayward","Canterbury",6,NA,NA,NA,NA
1234013,6,"Wellington","Canterbury","male","2020/21",2021-01-16,"Super Smash","17","Hagley Oval","Christchurch","Wellington","bat","JAK Bromley","TJ Parlane","A Mehrotra","Damian Morrow","RE Hayward","Canterbury",4,NA,NA,NA,NA
1234014,6,"Auckland","Northern Districts","male","2020/21",2021-01-17,"Super Smash","18","Eden Park Outer Oval","Auckland","Northern Districts","field","CM Brown","WR Knights","A Stanley","BF Bowden","AL Hill","Northern Districts",5,NA,"D/L",NA,NA
1234015,6,"Otago","Central Districts","male","2020/21",2021-01-18,"Super Smash","19","Pukekura Park, New Plymouth","New Plymouth","Central Districts","field","ED Sanders","SB Haig",NA,NA,"EJ Gray","Central Districts",5,NA,"D/L",NA,NA
1234016,6,"Canterbury","Northern Districts","male","2020/21",2021-01-21,"Super Smash","20","Seddon Park","Hamilton","Northern Districts","field","JM Dempsey","SB Haig",NA,NA,"AL Hill","Northern Districts",8,NA,"D/L",NA,NA
1234017,6,"Auckland","Central Districts","male","2020/21",2021-01-23,"Super Smash","21","Eden Park Outer Oval","Auckland","Central Districts","field","CM Brown","WR Knights","Damian Morrow","A Mehrotra","PA Horne","Auckland",NA,17,NA,NA,NA
1234018,6,"Otago","Wellington","male","2020/21",2021-01-24,"Super Smash","22","Basin Reserve","Wellington","Wellington","field","C Black","TJ Parlane","ED Sanders","DJ Walker","EJ Gray","Wellington",4,NA,NA,NA,NA
1234019,6,"Canterbury","Wellington","male","2020/21",2021-01-25,"Super Smash","23","Basin Reserve","Wellington","Wellington","field","DJ Walker","TJ Parlane","Tyron Davies","A Mehrotra","RE Hayward","Wellington",7,NA,NA,NA,NA
1234020,6,"Auckland","Northern Districts","male","2020/21",2021-01-29,"Super Smash","24","Seddon Park","Hamilton","Northern Districts","field","BF Bowden","JM Dempsey","A Stanley","WR Knights","GB Troup","Northern Districts",3,NA,NA,NA,NA
1234021,6,"Otago","Canterbury","male","2020/21",2021-01-30,"Super Smash","25","Hagley Oval","Christchurch","Canterbury","field","DJ Walker","JAK Bromley","Damian Morrow","Kim Cotton","GAV Baxter","Canterbury",6,NA,NA,NA,NA
1234022,6,"Central Districts","Wellington","male","2020/21",2021-01-31,"Super Smash","26","Basin Reserve","Wellington","Central Districts","bat","CM Brown","TJ Parlane","Tyron Davies","C Black","PA Horne","Wellington",8,NA,NA,NA,NA
1234023,6,"Auckland","Otago","male","2020/21",2021-02-01,"Super Smash","27","Eden Park Outer Oval","Auckland","Auckland","bat","BF Bowden","DJ Walker","KS Jagannathan","WR Knights","GB Troup","Auckland",NA,103,NA,NA,NA
1234024,6,"Central Districts","Canterbury","male","2020/21",2021-02-05,"Super Smash","28","McLean Park","Napier","Canterbury","field","CM Brown","JM Dempsey","Glen Walklin","ED Sanders","PA Horne","Central Districts",NA,30,NA,NA,NA
1234025,6,"Northern Districts","Otago","male","2020/21",2021-02-06,"Super Smash","29","University Oval","Dunedin","Northern Districts","bat","DJ Walker","JAK Bromley","PJ Pasco","KS Jagannathan","RE Hayward","Northern Districts",NA,36,NA,NA,NA
1234026,6,"Wellington","Auckland","male","2020/21",2021-02-07,"Super Smash","30","Eden Park Outer Oval","Auckland","Wellington","bat","BF Bowden","Damian Morrow","Lui Els","A Mehrotra","AL Hill","Wellington",NA,39,NA,NA,NA
1234027,6,"Central Districts","Canterbury","male","2020/21",2021-02-11,"Super Smash",NA,"Eden Park Outer Oval","Auckland","Central Districts","bat","BF Bowden","JM Dempsey","ED Sanders","A Mehrotra","GAV Baxter","Canterbury",4,NA,NA,NA,NA
1234028,6,"Canterbury","Wellington","male","2020/21",2021-02-13,"Super Smash",NA,"Basin Reserve","Wellington","Wellington","field","CM Brown","WR Knights","SB Haig",NA,"RE Hayward","Wellington",5,NA,NA,NA,NA
1289603,6,"Wellington","Canterbury","male","2021/22",2021-11-26,"Super Smash","1","Hagley Oval, Christchurch","Christchurch","Canterbury","field","Kim Cotton","TJ Parlane","DJ Henderson","JAK Bromley","GAV Baxter","Wellington",NA,27,NA,NA,NA
1289605,6,"Otago","Central Districts","male","2021/22",2021-11-28,"Super Smash","3","University Oval, Dunedin","Dunedin","Otago","bat","KS Jagannathan","SB Haig","N Louw","DJ Walker","RE Hayward","Central Districts",5,NA,NA,NA,NA
1289606,6,"Northern Districts","Otago","male","2021/22",2021-12-03,"Super Smash","3","Seddon Park, Hamilton","Hamilton","Otago","field","CM Brown","Damian Morrow","C High","JAK Bromley","RE Hayward",NA,NA,NA,NA,"no result",NA
1289608,6,"Central Districts","Wellington","male","2021/22",2021-12-05,"Super Smash","6","Basin Reserve, Wellington","Wellington","Wellington","field","C Black","SB Haig","Tyron Davies","CM Brown","K Pulley","Central Districts",NA,14,NA,NA,NA
1289609,6,"Canterbury","Central Districts","male","2021/22",2021-12-10,"Super Smash","5","Hagley Oval, Christchurch","Christchurch","Canterbury","bat","CM Brown","PJ Pasco","DJ Henderson","ED Sanders","GAV Baxter","Canterbury",NA,47,NA,NA,NA
1289611,6,"Northern Districts","Otago","male","2021/22",2021-12-12,"Super Smash","9","University Oval, Dunedin","Dunedin","Otago","field",NA,NA,NA,NA,NA,"Otago",3,NA,NA,NA,NA
1289612,6,"Auckland","Northern Districts","male","2021/22",2021-12-17,"Super Smash","7","Seddon Park, Hamilton","Hamilton","Northern Districts","field","JM Dempsey","TJ Parlane","Lui Els","Damian Morrow","AL Hill","Northern Districts",4,NA,NA,NA,NA
1289613,6,"Central Districts","Otago","male","2021/22",2021-12-18,"Super Smash","8","McLean Park, Napier","Napier","Otago","field","BF Bowden","WR Knights","TS Shirriffs","Glen Walklin","RE Hayward","Central Districts",NA,53,NA,NA,NA
