"match_id","balls_per_over","team1","team2","gender","season","date","event","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_runs","winner_wickets","match_number","outcome","method","eliminator"
1182904,6,"Vanuatu","Papua New Guinea","female","2019",2019-05-06,"ICC Women's T20 World Cup East Asia-Pacific Region Qualifier","Ground 1, Independence Park","Port Vila","Papua New Guinea","bat","R Oa","Kim Cotton","IA Thomson","Suresh Subramanian",NA,"SR Bernard","Papua New Guinea",57,NA,"1",NA,NA,NA
1182905,6,"Indonesia","Japan","female","2019",2019-05-06,"ICC Women's T20 World Cup East Asia-Pacific Region Qualifier","Ground 2, Independence Park","Port Vila","Japan","bat","Y Anggraeni","ZK Shem","SJ Nogajski","A Kapa",NA,"SR Bernard","Indonesia",NA,7,"2",NA,NA,NA
1182906,6,"Indonesia","Papua New Guinea","female","2019",2019-05-06,"ICC Women's T20 World Cup East Asia-Pacific Region Qualifier","Ground 1, Independence Park","Port Vila","Indonesia","bat","NM Ambo","Suresh Subramanian","SJ Nogajski","ZK Shem",NA,"SR Bernard","Papua New Guinea",NA,7,"3",NA,NA,NA
1182909,6,"Fiji","Papua New Guinea","female","2019",2019-05-07,"ICC Women's T20 World Cup East Asia-Pacific Region Qualifier","Ground 2, Independence Park","Port Vila","Fiji","bat","R Oa","ZK Shem","Suresh Subramanian","Kim Cotton",NA,"SR Bernard","Papua New Guinea",NA,10,"6",NA,NA,NA
1182650,6,"Mozambique","Rwanda","female","2019",2019-05-08,"ICC Women's T20 World Cup Africa Region Qualifier","Old Hararians","Harare","Mozambique","bat","H Ishimwe","Justine Muzungu","Lauren Agenbag","A Louw",NA,"O Chirombe","Rwanda",NA,1,NA,NA,NA,NA
1182652,6,"Kenya","Uganda","female","2019",2019-05-08,"ICC Women's T20 World Cup Africa Region Qualifier","Old Hararians","Harare","Uganda","bat","C Aweko","A Louw","Justine Muzungu","Lauren Agenbag",NA,"O Chirombe","Uganda",4,NA,NA,NA,NA,NA
1182653,6,"Namibia","Sierra Leone","female","2019",2019-05-08,"ICC Women's T20 World Cup Africa Region Qualifier","Takashinga Sports Club","Harare","Sierra Leone","bat","M Short","R D'Mello","PM Musoke","IO Oyieko",NA,"O Chirombe","Namibia",NA,10,NA,NA,NA,NA
1182654,6,"Zimbabwe","Rwanda","female","2019",2019-05-09,"ICC Women's T20 World Cup Africa Region Qualifier","Old Hararians","Harare","Zimbabwe","bat","M Mupachikwa","IO Oyieko","Patric Makumbi","Justine Muzungu",NA,"O Chirombe","Zimbabwe",82,NA,NA,NA,NA,NA
1182912,6,"Vanuatu","Samoa","female","2019",2019-05-09,"ICC Women's T20 World Cup East Asia-Pacific Region Qualifier","Ground 1, Independence Park","Port Vila","Vanuatu","bat","RSM Lili'i","SJ Nogajski","IA Thomson","A Kapa",NA,"SR Bernard","Samoa",NA,8,"9",NA,NA,NA
1182913,6,"Fiji","Japan","female","2019",2019-05-09,"ICC Women's T20 World Cup East Asia-Pacific Region Qualifier","Ground 2, Independence Park","Port Vila","Japan","bat","N Tokizawa","Suresh Subramanian","Kim Cotton","ZK Shem",NA,"SR Bernard","Japan",31,NA,"10",NA,NA,NA
1182914,6,"Japan","Papua New Guinea","female","2019",2019-05-09,"ICC Women's T20 World Cup East Asia-Pacific Region Qualifier","Ground 1, Independence Park","Port Vila","Japan","bat","K Arua","ZK Shem","IA Thomson","Suresh Subramanian",NA,"SR Bernard","Papua New Guinea",NA,10,"11",NA,NA,NA
1182916,6,"Fiji","Indonesia","female","2019",2019-05-10,"ICC Women's T20 World Cup East Asia-Pacific Region Qualifier","Ground 1, Independence Park","Port Vila","Indonesia","field","N Sitompul","Kim Cotton","ZK Shem","SJ Nogajski",NA,"SR Bernard","Indonesia",NA,8,"13",NA,NA,NA
1182917,6,"Vanuatu","Japan","female","2019",2019-05-10,"ICC Women's T20 World Cup East Asia-Pacific Region Qualifier","Ground 2, Independence Park","Port Vila","Japan","bat","N Navaika","A Kapa","Suresh Subramanian","IA Thomson",NA,"SR Bernard","Vanuatu",NA,9,"14",NA,NA,NA
1182918,6,"Papua New Guinea","Samoa","female","2019",2019-05-10,"ICC Women's T20 World Cup East Asia-Pacific Region Qualifier","Ground 1, Independence Park","Port Vila","Papua New Guinea","field","K Arua","Suresh Subramanian","IA Thomson","ZK Shem",NA,"SR Bernard","Papua New Guinea",NA,7,"15",NA,NA,NA
1182656,6,"Zimbabwe","Nigeria","female","2019",2019-05-11,"ICC Women's T20 World Cup Africa Region Qualifier","Old Hararians","Harare","Nigeria","bat","N Mutasa","R D'Mello","Patric Makumbi","L Agenburg",NA,"O Chirombe","Zimbabwe",NA,10,NA,NA,NA,NA
1182657,6,"Rwanda","Tanzania","female","2019",2019-05-11,"ICC Women's T20 World Cup Africa Region Qualifier","Takashinga Sports Club","Harare","Tanzania","bat","FO Kibasu","IO Oyieko","Justine Muzungu","A Louw",NA,"O Chirombe","Tanzania",38,NA,NA,NA,NA,NA
1182658,6,"Zimbabwe","Namibia","female","2019",2019-05-12,"ICC Women's T20 World Cup Africa Region Qualifier","Harare Sports Club","Harare","Namibia","field","CS Mugeri-Tiripano","IO Oyieko","Lauren Agenbag","Patric Makumbi","R D'Mello","O Chirombe","Zimbabwe",50,NA,NA,NA,NA,NA
1177018,6,"South Africa","Pakistan","female","2019",2019-05-15,"Pakistan Women tour of South Africa","LC de Villiers Oval","Pretoria","Pakistan","field","Nida Dar","Lauren Agenbag","AT Holdstock","BP Jele",NA,"S Wadvalla","Pakistan",NA,7,"1",NA,NA,NA
1177019,6,"South Africa","Pakistan","female","2019",2019-05-18,"Pakistan Women tour of South Africa","City Oval","Pietermaritzburg","Pakistan","bat","L Lee","BP Jele","AT Holdstock","Lauren Agenbag",NA,"S Wadvalla","South Africa",NA,8,"2",NA,NA,NA
1183856,6,"United States of America","Canada","female","2019",2019-05-18,"ICC Women's T20 World Cup Americas Region Qualifier","Central Broward Regional Park Stadium Turf Ground","Lauderhill","Canada","field","U Iftikhar","AR Maddela","SN Bandekar","JM Williams",NA,"Reon King","United States of America",37,NA,NA,NA,NA,NA
1177020,6,"South Africa","Pakistan","female","2019",2019-05-19,"Pakistan Women tour of South Africa","City Oval","Pietermaritzburg","Pakistan","field","Iram Javed","BP Jele","Lauren Agenbag","AT Holdstock",NA,"S Wadvalla","Pakistan",NA,4,"3",NA,NA,NA
