"match_id","balls_per_over","team1","team2","gender","season","date","event","venue","city","toss_winner","toss_decision","umpire1","umpire2","match_referee","outcome","winner","winner_wickets","winner_runs","player_of_match","winner_innings","tv_umpire","toss_uncontested","reserve_umpire","match_number"
692819,6,"Lancashire","Nottinghamshire","male","2014",2014-07-13,"LV= County Championship","Aigburth, Liverpool","Liverpool","Nottinghamshire","field","AG Wharf","MA Gough",NA,NA,"Nottinghamshire",1,NA,NA,NA,NA,NA,NA,NA
692821,6,"Warwickshire","Durham","male","2014",2014-07-13,"LV= County Championship","Riverside Ground, Chester-le-Street","Chester-le-Street","Durham","field","PJ Hartley","SC Gale",NA,NA,"Warwickshire",NA,188,NA,"1",NA,NA,NA,NA
692961,6,"Worcestershire","Leicestershire","male","2014",2014-07-13,"LV= County Championship","County Ground, New Road, Worcester","Worcester","Worcestershire","bat","MJ Saggers","P Willey",NA,NA,"Worcestershire",NA,204,NA,NA,NA,NA,NA,NA
692963,6,"Hampshire","Essex","male","2014",2014-07-13,"LV= County Championship","Castle Park Cricket Ground, Colchester","Colchester","Hampshire","bat","AK Chaudhary","RT Robinson",NA,NA,"Essex",2,NA,NA,NA,NA,NA,NA,NA
692965,6,"Gloucestershire","Derbyshire","male","2014",2014-07-14,"LV= County Championship","College Ground, Cheltenham","Cheltenham","Gloucestershire","bat","MR Benson","NL Bainton",NA,NA,"Derbyshire",6,NA,NA,NA,NA,NA,NA,NA
692823,6,"Yorkshire","Middlesex","male","2014",2014-07-19,"LV= County Championship","North Marine Road Ground, Scarborough","Scarborough","Middlesex","field","MJ Saggers","SA Garratt",NA,NA,"Yorkshire",NA,220,NA,NA,NA,NA,NA,NA
692967,6,"Kent","Surrey","male","2014",2014-07-20,"LV= County Championship","Woodbridge Road, Guildford","Guildford","Surrey","field","PK Baldwin","RJ Bailey",NA,NA,"Kent",NA,89,NA,NA,NA,NA,NA,NA
692969,6,"Glamorgan","Derbyshire","male","2014",2014-07-20,"LV= County Championship","County Ground, Derby","Derby","Derbyshire","field","NGB Cook","RT Robinson",NA,NA,"Derbyshire",6,NA,NA,NA,NA,NA,NA,NA
692825,6,"Sussex","Warwickshire","male","2014",2014-07-21,"LV= County Championship","Cricket Field Road Ground, Horsham","Horsham","Sussex","bat","AG Wharf","SJ O'Shaughnessy",NA,NA,"Sussex",NA,226,NA,NA,NA,NA,NA,NA
692971,6,"Worcestershire","Gloucestershire","male","2014",2014-07-21,"LV= County Championship","College Ground, Cheltenham","Cheltenham","Worcestershire","bat","G Sharp","SC Gale",NA,NA,"Worcestershire",8,NA,NA,NA,NA,NA,NA,NA
692827,6,"Warwickshire","Somerset","male","2014",2014-08-15,"LV= County Championship","County Ground, Taunton","Taunton","Somerset","field","MJD Bodenham","SJ O'Shaughnessy",NA,NA,"Warwickshire",NA,215,NA,NA,NA,NA,NA,NA
692829,6,"Sussex","Yorkshire","male","2014",2014-08-15,"LV= County Championship","North Marine Road Ground, Scarborough","Scarborough","Yorkshire","field","GD Lloyd","PJ Hartley",NA,NA,"Yorkshire",9,NA,NA,NA,NA,NA,NA,NA
692831,6,"Northamptonshire","Nottinghamshire","male","2014",2014-08-15,"LV= County Championship","County Ground, Northampton","Northampton","Nottinghamshire","field","NGB Cook","SA Garratt",NA,NA,"Nottinghamshire",5,NA,NA,NA,NA,NA,NA,NA
692975,6,"Worcestershire","Gloucestershire","male","2014",2014-08-15,"LV= County Championship","County Ground, New Road, Worcester","Worcester","Gloucestershire","field","M Burns","P Willey",NA,NA,"Gloucestershire",7,NA,NA,NA,NA,NA,NA,NA
692977,6,"Surrey","Leicestershire","male","2014",2014-08-15,"LV= County Championship","Grace Road, Leicester","Leicester","Leicestershire","field","NGC Cowley","PR Pollard",NA,"draw",NA,NA,NA,NA,NA,NA,NA,NA,NA
692979,6,"Hampshire","Kent","male","2014",2014-08-15,"LV= County Championship","St Lawrence Ground, Canterbury","Canterbury","Hampshire","bat","BJ Debenham","MA Gough",NA,NA,"Hampshire",NA,196,NA,NA,NA,NA,NA,NA
692837,6,"Warwickshire","Middlesex","male","2014",2014-08-31,"LV= County Championship","Lord's, London","London","Middlesex","field","GD Lloyd","NGC Cowley",NA,"draw",NA,NA,NA,NA,NA,NA,NA,NA,NA
692841,6,"Durham","Nottinghamshire","male","2014",2014-08-31,"LV= County Championship","Riverside Ground, Chester-le-Street","Chester-le-Street","Durham","bat","JH Evans","PJ Hartley",NA,NA,"Durham",NA,54,NA,NA,NA,NA,NA,NA
692981,6,"Derbyshire","Worcestershire","male","2014",2014-08-31,"LV= County Championship","County Ground, Derby","Derby","Derbyshire","bat","MJD Bodenham","NGB Cook",NA,NA,"Derbyshire",NA,138,NA,NA,NA,NA,NA,NA
692983,6,"Glamorgan","Kent","male","2014",2014-08-31,"LV= County Championship","St Lawrence Ground, Canterbury","Canterbury","Glamorgan","bat","DJ Millns","NL Bainton",NA,"draw",NA,NA,NA,NA,NA,NA,NA,NA,NA
692985,6,"Leicestershire","Hampshire","male","2014",2014-08-31,"LV= County Championship","The Rose Bowl, Southampton","Southampton","Leicestershire","bat","MJ Saggers","P Willey",NA,NA,"Hampshire",NA,34,NA,"1",NA,NA,NA,NA
692843,6,"Yorkshire","Nottinghamshire","male","2014",2014-09-09,"LV= County Championship","Trent Bridge, Nottingham","Nottingham","Yorkshire","bat","MJ Saggers","RJ Bailey",NA,NA,"Yorkshire",NA,152,"RJ Sidebottom","1","MR Benson",NA,NA,NA
692845,6,"Durham","Middlesex","male","2014",2014-09-09,"LV= County Championship","Lord's, London","London","Durham","bat","DJ Millns","NL Bainton",NA,NA,"Durham",NA,141,NA,NA,NA,NA,NA,NA
692847,6,"Lancashire","Sussex","male","2014",2014-09-09,"LV= County Championship","County Ground, Hove","Brighton","Sussex","field","JW Lloyds","MJD Bodenham",NA,NA,"Sussex",7,NA,NA,NA,NA,NA,NA,NA
692849,6,"Northamptonshire","Warwickshire","male","2014",2014-09-09,"LV= County Championship","Edgbaston, Birmingham","Birmingham","Warwickshire","field","NGB Cook","RT Robinson",NA,NA,"Warwickshire",NA,16,NA,"1",NA,NA,NA,NA
692987,6,"Glamorgan","Derbyshire","male","2014",2014-09-09,"LV= County Championship","Sophia Gardens, Cardiff","Cardiff","Glamorgan","bat","NA Mallender","NJ Llong",NA,NA,"Glamorgan",NA,106,NA,NA,NA,NA,NA,NA
