"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"HT Crocombe","Sussex",2022,"County Championship",12,214.5,29,766,15,51.0666666666667,3.5655546935609,85.9333333333333,909,1,0,"4/84"
"L Gregory","Somerset",2022,"County Championship",17,233.5,38,796,15,53.0666666666667,3.40413399857448,93.5333333333333,1066,1,0,"4/62"
"BL D'Oliveira","Worcestershire",2021,"County Championship",17,253.4,29,808,15,53.8666666666667,3.18528252299606,101.466666666667,988,0,0,"3/95"
"JT Ball","Nottinghamshire",2019,"Specsavers County Championship",15,246.5,42,878,15,58.5333333333333,3.55705604321404,98.7333333333333,1064,0,0,"2/57"
"Mohammad Amir","Essex",2017,"Specsavers County Championship",5,76.2,19,189,14,13.5,2.47598253275109,32.7142857142857,367,0,2,"5/18"
"JDM Evison","Nottinghamshire",2021,"County Championship",8,82.1,23,249,14,17.7857142857143,3.03042596348884,35.2142857142857,390,1,1,"5/21"
"GJ Maxwell","Lancashire",2019,"Specsavers County Championship",7,109.5,27,287,14,20.5,2.61305007587253,47.0714285714286,510,1,1,"5/40"
"C McKerr","Derbyshire",2017,"Specsavers County Championship",4,85.5,19,290,14,20.7142857142857,3.37864077669903,36.7857142857143,390,0,2,"5/54"
"MW Parkinson","Lancashire",2017,"Specsavers County Championship",8,76.4,7,308,14,22,4.01739130434783,32.8571428571429,319,1,0,"4/68"
"JM Anderson","Lancashire",2014,"LV= County Championship",6,128.4,31,324,14,23.1428571428571,2.51813471502591,55.1428571428571,600,0,2,"5/41"
"G Stewart","Kent",2018,"Specsavers County Championship",12,100.5,16,326,14,23.2857142857143,3.23305785123967,43.2142857142857,469,0,1,"6/22"
"LA Procter","Northamptonshire",2018,"Specsavers County Championship",14,101.1,20,341,14,24.3571428571429,3.37067545304778,43.3571428571429,462,0,1,"5/33"
"TAI Taylor","Leicestershire",2019,"Specsavers County Championship",5,98,16,344,14,24.5714285714286,3.51020408163265,42,447,1,1,"6/47"
"J Overton","Surrey",2023,"County Championship",10,104.4,14,345,14,24.6428571428571,3.29617834394904,44.8571428571429,441,0,0,"3/45"
"Shaheen Shah Afridi","Middlesex",2022,"County Championship",6,101.5,16,356,14,25.4285714285714,3.49590834697218,43.6428571428571,452,0,0,"3/35"
"JC Tongue","Worcestershire",2021,"County Championship",7,115.5,18,358,14,25.5714285714286,3.09064748201439,49.6428571428571,509,1,1,"5/39"
"LC Norwell","Warwickshire",2019,"Specsavers County Championship",8,110.5,30,360,14,25.7142857142857,3.24812030075188,47.5,522,0,1,"7/41"
"BJ McCarthy","Durham",2018,"Specsavers County Championship",8,105,16,366,14,26.1428571428571,3.48571428571429,45,471,1,0,"4/58"
"TD Groenewald","Somerset",2019,"Specsavers County Championship",10,138.3,25,398,14,28.4285714285714,2.87364620938628,59.3571428571429,642,0,1,"5/51"
"TK Curran","Surrey",2014,"LV= County Championship",8,126.1,24,409,14,29.2142857142857,3.24174372523118,54.0714285714286,579,1,1,"5/51"
"RF Higgins","Middlesex",2024,"County Championship",9,135,29,418,14,29.8571428571429,3.0962962962963,57.8571428571429,617,1,0,"4/31"
"NJ Dexter","Leicestershire",2017,"Specsavers County Championship",11,121,23,456,14,32.5714285714286,3.76859504132231,51.8571428571429,526,0,2,"5/71"
"OH Freckingham","Leicestershire",2015,"LV= County Championship",8,113,13,458,14,32.7142857142857,4.05309734513274,48.4285714285714,477,1,0,"4/91"
"MJ Potts","Durham",2017,"Specsavers County Championship",9,163,37,465,14,33.2142857142857,2.85276073619632,69.8571428571429,772,0,0,"3/48"
"SJ Magoffin","Worcestershire",2018,"Specsavers County Championship",10,160,46,475,14,33.9285714285714,2.96875,68.5714285714286,767,0,0,"3/70"
"LW James","Nottinghamshire",2024,"County Championship",9,118.3,18,479,14,34.2142857142857,4.042194092827,50.7857142857143,494,0,0,"3/65"
"RM Yates","Warwickshire",2024,"County Championship",9,147,19,482,14,34.4285714285714,3.27891156462585,63,608,2,0,"4/37"
"JA Tomlinson","Hampshire",2016,"Specsavers County Championship",9,151.3,40,483,14,34.5,3.18811881188119,64.9285714285714,689,1,0,"4/74"
"SF Hunt","Sussex",2023,"County Championship",9,119,16,493,14,35.2142857142857,4.14285714285714,51,530,0,0,"3/36"
"SW Currie","Leicestershire",2024,"County Championship",7,134,19,496,14,35.4285714285714,3.70149253731343,57.4285714285714,571,0,0,"3/36"
"MET Salisbury","Leicestershire",2023,"County Championship",10,119.3,26,500,14,35.7142857142857,4.18410041841004,51.2142857142857,517,0,1,"5/73"
"DJ Willey","Northamptonshire",2015,"LV= County Championship",8,148.1,24,511,14,36.5,3.4488188976378,63.5,662,1,0,"4/72"
"M Labuschagne","Glamorgan",2019,"Specsavers County Championship",11,140.5,13,511,14,36.5,3.6284023668639,60.3571428571429,537,0,0,"3/52"
"J Leach","Worcestershire",2024,"County Championship",11,174,39,516,14,36.8571428571429,2.96551724137931,74.5714285714286,804,0,0,"3/37"
"AY Patel","Glamorgan",2022,"County Championship",7,169,37,519,14,37.0714285714286,3.07100591715976,72.4285714285714,764,0,1,"5/68"
"SR Harmer","Essex",2024,"County Championship",10,183.5,35,519,14,37.0714285714286,2.82320942883046,78.7857142857143,811,0,0,"3/28"
"CF Parkinson","Derbyshire",2016,"Specsavers County Championship",6,170.4,28,531,14,37.9285714285714,3.111328125,73.1428571428571,725,1,0,"4/90"
"Yasir Shah","Kent",2017,"Specsavers County Championship",5,155.5,22,533,14,38.0714285714286,3.42032085561497,66.7857142857143,660,1,1,"5/132"
"JE Anyon","Sussex",2014,"LV= County Championship",9,125,18,549,14,39.2142857142857,4.392,53.5714285714286,516,0,0,"3/67"
"TL Best","Hampshire",2016,"Specsavers County Championship",8,136.5,20,554,14,39.5714285714286,4.04872107186358,58.6428571428571,587,1,1,"5/90"
"MG Hogan","Kent",2023,"County Championship",10,179.5,37,563,14,40.2142857142857,3.1306765523633,77.0714285714286,828,0,1,"5/63"
"MJ Swepson","Glamorgan",2023,"County Championship",6,176.3,32,585,14,41.7857142857143,3.31444759206799,75.6428571428571,774,1,0,"4/89"
"M Pretorius","Somerset",2024,"County Championship",9,157.4,24,594,14,42.4285714285714,3.76744186046512,67.5714285714286,675,1,0,"4/36"
"GG Wagg","Glamorgan",2019,"Specsavers County Championship",12,179,25,617,14,44.0714285714286,3.44692737430168,76.7142857142857,784,0,0,"3/59"
"LV van Beek","Derbyshire",2019,"Specsavers County Championship",12,182.2,25,626,14,44.7142857142857,3.43327239488117,78.1428571428571,816,0,0,"3/75"
"RI Keogh","Northamptonshire",2023,"County Championship",16,178,15,644,14,46,3.61797752808989,76.2857142857143,679,0,0,"3/52"
"AG Salter","Glamorgan",2017,"Specsavers County Championship",17,155.4,12,646,14,46.1428571428571,4.14989293361884,66.7142857142857,601,0,0,"3/60"
"PWA Mulder","Leicestershire",2022,"County Championship",9,181,27,716,14,51.1428571428571,3.95580110497238,77.5714285714286,776,1,0,"4/125"
"BL D'Oliveira","Worcestershire",2016,"Specsavers County Championship",20,234.1,25,718,14,51.2857142857143,3.06619217081851,100.357142857143,1000,1,0,"4/80"
"KS Carlson","Glamorgan",2023,"County Championship",13,206,12,853,14,60.9285714285714,4.14077669902913,88.2857142857143,715,0,0,"3/147"
"DM Bess","Somerset",2016,"Specsavers County Championship",4,59.5,20,136,13,10.4615384615385,2.27298050139276,27.6153846153846,295,0,2,"6/28"
"CP Tremain","Northamptonshire",2023,"County Championship",5,75.4,16,233,13,17.9230769230769,3.07929515418502,34.9230769230769,340,0,1,"5/44"
"TK Curran","Surrey",2018,"Specsavers County Championship",6,98,25,253,13,19.4615384615385,2.58163265306122,45.2307692307692,474,1,0,"4/61"
"JL Denly","Kent",2018,"Specsavers County Championship",12,101.4,18,268,13,20.6153846153846,2.63606557377049,46.9230769230769,461,0,0,"3/24"
"TB Abell","Somerset",2019,"Specsavers County Championship",13,93.2,27,269,13,20.6923076923077,2.88214285714286,43.0769230769231,429,1,0,"4/39"
"DJ Worrall","Gloucestershire",2018,"Specsavers County Championship",6,93.1,29,275,13,21.1538461538462,2.95169946332737,43,445,1,0,"4/45"
"WMH Rhodes","Warwickshire",2019,"Specsavers County Championship",15,121.4,35,291,13,22.3846153846154,2.39178082191781,56.1538461538462,596,1,1,"5/17"
"VD Philander","Sussex",2017,"Specsavers County Championship",6,92.3,21,315,13,24.2307692307692,3.40540540540541,42.6923076923077,449,1,0,"4/39"
