"match_id","balls_per_over","team1","team2","gender","season","date","event","venue","city","toss_winner","toss_decision","umpire1","umpire2","match_referee","winner","winner_runs","winner_wickets","player_of_match","reserve_umpire","method","match_number","outcome","tv_umpire"
1297942,6,"Lightning","Northern Diamonds","female","2022",2022-07-23,"Rachael Heyhoe Flint Trophy","Riverside Ground, Chester-le-Street","Chester-le-Street","Lightning","bat","Naeem Ashraf","Surendiran Shanmugam","PM Such","Northern Diamonds",NA,1,NA,NA,NA,NA,NA,NA
1297947,6,"Thunder","Southern Vipers","female","2022",2022-09-11,"Rachael Heyhoe Flint Trophy","The Rose Bowl, Southampton","Southampton","Thunder","bat","AG Wharf","F Richards","AM Smith (2)","Southern Vipers",NA,4,NA,NA,NA,NA,NA,NA
1297948,6,"South East Stars","Central Sparks","female","2022",2022-09-11,"Rachael Heyhoe Flint Trophy","Kent County Cricket Ground, Beckenham","Beckenham","Central Sparks","field","J Ibbotson","RJ Warren","H Pack","South East Stars",59,NA,NA,NA,NA,NA,NA,NA
1297949,6,"Lightning","Sunrisers","female","2022",2022-09-11,"Rachael Heyhoe Flint Trophy","County Ground, Chelmsford","Chelmsford","Sunrisers","field","NL Bainton","WRP Fernando","JJ Swift","Lightning",70,NA,NA,NA,NA,NA,NA,NA
1297950,6,"Northern Diamonds","Western Storm","female","2022",2022-09-11,"Rachael Heyhoe Flint Trophy","The Cooper Associates County Ground, Taunton","Taunton","Northern Diamonds","bat","BJ Peverall","PK Baldwin","AJ Swann","Northern Diamonds",104,NA,NA,NA,NA,NA,NA,NA
1297952,6,"Southern Vipers","Northern Diamonds","female","2022",2022-09-17,"Rachael Heyhoe Flint Trophy","Headingley, Leeds","Leeds","Southern Vipers","bat","AC Harris","SM Bartlett","JJ Whitaker","Northern Diamonds",NA,4,NA,NA,NA,NA,NA,NA
1297953,6,"Central Sparks","Sunrisers","female","2022",2022-09-17,"Rachael Heyhoe Flint Trophy","County Ground, New Road, Worcester","Worcester","Sunrisers","field","JD Shantry","J Ibbotson","JJ Swift","Central Sparks",139,NA,NA,NA,NA,NA,NA,NA
1297954,6,"South East Stars","Lightning","female","2022",2022-09-17,"Rachael Heyhoe Flint Trophy","Grace Road, Leicester","Leicester","South East Stars","bat","Hassan Adnan","WRP Fernando","H Pack","South East Stars",112,NA,NA,NA,NA,NA,NA,NA
1297951,6,"Thunder","Western Storm","female","2022",2022-09-18,"Rachael Heyhoe Flint Trophy","Old Trafford, Manchester","Manchester","Western Storm","field","G Bambury","Naeem Ashraf","AJ Swann","Western Storm",NA,2,NA,NA,"D/L",NA,NA,NA
1297955,6,"South East Stars","Southern Vipers","female","2022",2022-09-21,"Rachael Heyhoe Flint Trophy","Kent County Cricket Ground, Beckenham","Beckenham","South East Stars","bat","JD Shantry","J Naeem","H Pack","Southern Vipers",NA,6,NA,NA,NA,NA,NA,NA
1297956,6,"Northern Diamonds","Southern Vipers","female","2022",2022-09-25,"Rachael Heyhoe Flint Trophy","Lord's, London","London","Southern Vipers","field","Rob White","SM Bartlett","H Pack","Northern Diamonds",2,NA,"L Winfield-Hill",NA,NA,NA,NA,NA
1347403,6,"Sunrisers","Southern Vipers","female","2023",2023-04-22,"Rachael Heyhoe Flint Trophy","The Rose Bowl, Southampton","Southampton","Sunrisers","bat","BV Taylor","S McLelland","H Pack","Sunrisers",126,NA,NA,NA,NA,"1",NA,NA
1347404,6,"South East Stars","Thunder","female","2023",2023-04-22,"Rachael Heyhoe Flint Trophy","Old Trafford, Manchester","Manchester","South East Stars","bat","AY Harris","Hassan Adnan","JJ Whitaker","South East Stars",131,NA,NA,NA,NA,"2",NA,NA
1347405,6,"Northern Diamonds","Western Storm","female","2023",2023-04-22,"Rachael Heyhoe Flint Trophy","Headingley, Leeds","Leeds","Western Storm","field","PR Pollard","WRP Fernando","Wayne Noon","Northern Diamonds",105,NA,NA,NA,NA,"3",NA,NA
1347406,6,"The Blaze","Central Sparks","female","2023",2023-04-22,"Rachael Heyhoe Flint Trophy","Trent Bridge, Nottingham","Nottingham","The Blaze","bat","SM Bartlett","S Redfern","Phil Whitticase","The Blaze",59,NA,NA,NA,NA,"4",NA,NA
1347407,6,"Northern Diamonds","Central Sparks","female","2023",2023-04-29,"Rachael Heyhoe Flint Trophy","County Ground, New Road, Worcester","Worcester","Central Sparks","field","J Naeem","Naeem Ashraf","PM Such","Central Sparks",NA,7,NA,NA,NA,"5",NA,NA
1347408,6,"Thunder","Western Storm","female","2023",2023-04-29,"Rachael Heyhoe Flint Trophy","Sophia Gardens, Cardiff","Cardiff","Thunder","bat","AY Harris","PK Baldwin","H Pack","Western Storm",NA,6,NA,NA,NA,"6",NA,NA
1347409,6,"Sunrisers","The Blaze","female","2023",2023-04-29,"Rachael Heyhoe Flint Trophy","County Ground, Chelmsford","Chelmsford","Sunrisers","bat","AC Harris","SM Bartlett","SJ Davis","The Blaze",NA,3,NA,NA,NA,"7",NA,NA
1347410,6,"Southern Vipers","South East Stars","female","2023",2023-04-29,"Rachael Heyhoe Flint Trophy","Kent County Cricket Ground, Beckenham","Beckenham","Southern Vipers","bat","WRP Fernando","S Redfern","JJ Swift","Southern Vipers",158,NA,NA,NA,NA,"8",NA,NA
1347412,6,"Central Sparks","Southern Vipers","female","2023",2023-05-01,"Rachael Heyhoe Flint Trophy","Sir Paul Getty's Ground, Wormsley","Wormsley","Southern Vipers","field","AY Harris","Tom Lungley","H Pack","Southern Vipers",NA,3,NA,NA,NA,"10",NA,NA
1347413,6,"Sunrisers","Northern Diamonds","female","2023",2023-05-01,"Rachael Heyhoe Flint Trophy","County Ground, Chelmsford","Chelmsford","Sunrisers","bat","J Ibbotson","Rob White","SG Hinks","Northern Diamonds",NA,5,NA,NA,NA,"11",NA,NA
1347414,6,"South East Stars","Western Storm","female","2023",2023-05-01,"Rachael Heyhoe Flint Trophy","County Ground, Bristol","Bristol","South East Stars","bat","AC Harris","S McLelland","PM Such","South East Stars",207,NA,NA,NA,NA,"12",NA,NA
1347415,6,"South East Stars","Sunrisers","female","2023",2023-05-05,"Rachael Heyhoe Flint Trophy","Radlett Cricket Club, Radlett","Radlett","Sunrisers","field","S McLelland","Tom Lungley","DE Malcolm","South East Stars",91,NA,NA,NA,"D/L","13",NA,NA
1347416,6,"Thunder","Central Sparks","female","2023",2023-05-06,"Rachael Heyhoe Flint Trophy","Old Trafford, Manchester","Manchester","Central Sparks","field","AC Harris","J Ibbotson","H Pack",NA,NA,NA,NA,NA,"D/L","14","tie",NA
1347417,6,"Northern Diamonds","The Blaze","female","2023",2023-05-06,"Rachael Heyhoe Flint Trophy","Riverside Ground, Chester-le-Street","Chester-le-Street","The Blaze","field","J Naeem","N Pratt","AJ Swann","The Blaze",NA,4,NA,NA,NA,"15",NA,NA
1347419,6,"Thunder","Sunrisers","female","2023",2023-05-10,"Rachael Heyhoe Flint Trophy","Rookwood, Sale","Sale","Sunrisers","field","G Bambury","SJ O'Shaughnessy","H Pack",NA,NA,NA,NA,NA,NA,"17","no result",NA
1347420,6,"South East Stars","Northern Diamonds","female","2023",2023-05-10,"Rachael Heyhoe Flint Trophy","North Marine Road Ground, Scarborough","Scarborough","Northern Diamonds","field","J Naeem","P Mustard","Phil Whitticase","Northern Diamonds",NA,3,NA,NA,"D/L","18",NA,NA
1347421,6,"Southern Vipers","Central Sparks","female","2023",2023-05-10,"Rachael Heyhoe Flint Trophy","County Ground, Hove","Brighton","Central Sparks","field","Chris Watts","PD Nicholls","WR Smith","Central Sparks",NA,6,NA,NA,NA,"19",NA,NA
1347422,6,"The Blaze","Western Storm","female","2023",2023-05-10,"Rachael Heyhoe Flint Trophy","Grace Road, Leicester","Leicester","Western Storm","field","AY Harris","BV Taylor","JJ Whitaker",NA,NA,NA,NA,NA,NA,"20","no result",NA
1347423,6,"The Blaze","Western Storm","female","2023",2023-07-02,"Rachael Heyhoe Flint Trophy","County Ground, Bristol","Bristol","Western Storm","field","Hassan Adnan","WRP Fernando","H Pack","The Blaze",6,NA,NA,NA,NA,"21",NA,NA
1347424,6,"Central Sparks","Thunder","female","2023",2023-07-02,"Rachael Heyhoe Flint Trophy","County Ground, New Road, Worcester","Worcester","Thunder","field","James Middlebrook","SD Hollingshead","DE Malcolm","Central Sparks",29,NA,NA,NA,NA,"22",NA,NA
1347425,6,"Sunrisers","Southern Vipers","female","2023",2023-07-02,"Rachael Heyhoe Flint Trophy","County Ground, Chelmsford","Chelmsford","Sunrisers","bat","A Clark","NL Bainton","AJ Swann","Sunrisers",28,NA,NA,NA,NA,"23",NA,NA
1347426,6,"South East Stars","Northern Diamonds","female","2023",2023-07-02,"Rachael Heyhoe Flint Trophy","Kent County Cricket Ground, Beckenham","Beckenham","South East Stars","bat","F Richards","NJ Llong","SM Bartlett","Northern Diamonds",NA,7,NA,NA,NA,"24",NA,NA
1347427,6,"Northern Diamonds","The Blaze","female","2023",2023-07-07,"Rachael Heyhoe Flint Trophy","Queen's Park, Chesterfield","Chesterfield","Northern Diamonds","bat","F Richards","James Middlebrook","IL Herbert","The Blaze",NA,9,NA,NA,NA,"25",NA,NA
