"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"RA Fackrell","Central Sparks",2024,"Rachael Heyhoe Flint Trophy",6,"46.3",3,218,7,31.1428571428571,4.68817204301075,39.8571428571429,147,0,0,"2/19"
"HV Jones","South East Stars",2020,"Rachael Heyhoe Flint Trophy",6,"52.5",1,232,7,33.1428571428571,4.39116719242902,45.2857142857143,184,0,0,"2/34"
"EK Marlow","Northern Diamonds",2022,"Rachael Heyhoe Flint Trophy",6,"50.0",2,233,7,33.2857142857143,4.66,42.8571428571429,171,0,0,"3/40"
"L Jackson","Thunder",2022,"Rachael Heyhoe Flint Trophy",6,"46.0",1,238,7,34,5.17391304347826,39.4285714285714,169,0,0,"3/50"
"G Potts","Central Sparks",2023,"Rachael Heyhoe Flint Trophy",12,"84.1",7,378,7,54,4.49108910891089,72.1428571428571,338,0,0,"3/46"
"A Capsey","South East Stars",2023,"Rachael Heyhoe Flint Trophy",2,"8.5",0,36,6,6,4.07547169811321,8.83333333333333,32,0,1,"6/28"
"LF Higham","The Blaze",2024,"Rachael Heyhoe Flint Trophy",4,"22.0",3,73,6,12.1666666666667,3.31818181818182,22,93,0,0,"3/28"
"L Heap","Thunder",2023,"Rachael Heyhoe Flint Trophy",3,"18.0",1,81,6,13.5,4.5,18,68,0,0,"3/39"
"PJ Scholfield","Southern Vipers",2021,"Rachael Heyhoe Flint Trophy",4,"21.0",2,99,6,16.5,4.71428571428571,21,70,0,0,"3/16"
"CE Dean","Southern Vipers",2024,"Rachael Heyhoe Flint Trophy",3,"28.0",3,100,6,16.6666666666667,3.57142857142857,28,114,1,0,"4/34"
"HJ Armitage","Northern Diamonds",2020,"Rachael Heyhoe Flint Trophy",5,"28.2",1,122,6,20.3333333333333,4.30588235294118,28.3333333333333,97,0,0,"2/16"
"EL Arlott","Central Sparks",2022,"Rachael Heyhoe Flint Trophy",4,"30.2",0,127,6,21.1666666666667,4.18681318681319,30.3333333333333,111,1,0,"4/36"
"A Glen","Northern Diamonds",2023,"Rachael Heyhoe Flint Trophy",4,"25.3",1,132,6,22,5.17647058823529,25.5,86,0,0,"2/34"
"S Glenn","Central Sparks",2021,"Rachael Heyhoe Flint Trophy",4,"36.0",3,135,6,22.5,3.75,36,133,0,0,"2/32"
"LF Higham","Lightning",2020,"Rachael Heyhoe Flint Trophy",5,"35.0",3,145,6,24.1666666666667,4.14285714285714,35,127,0,0,"3/38"
"EA Russell","Central Sparks",2020,"Rachael Heyhoe Flint Trophy",4,"37.0",3,149,6,24.8333333333333,4.02702702702703,37,149,1,0,"4/28"
"J Gardner","Sunrisers",2022,"Rachael Heyhoe Flint Trophy",4,"31.0",0,151,6,25.1666666666667,4.87096774193548,31,103,0,0,"3/45"
"KL Cross","Thunder",2024,"Rachael Heyhoe Flint Trophy",4,"35.3",3,151,6,25.1666666666667,4.25352112676056,35.5,138,0,0,"3/21"
"P Cleary","Lightning",2022,"Rachael Heyhoe Flint Trophy",3,"28.0",0,152,6,25.3333333333333,5.42857142857143,28,98,0,0,"3/45"
"G Potts","Central Sparks",2024,"Rachael Heyhoe Flint Trophy",5,"41.2",4,159,6,26.5,3.84677419354839,41.3333333333333,160,0,0,"2/30"
"A Stonehouse","South East Stars",2022,"Rachael Heyhoe Flint Trophy",7,"38.0",2,161,6,26.8333333333333,4.23684210526316,38,156,0,0,"3/27"
"EA Russell","Central Sparks",2022,"Rachael Heyhoe Flint Trophy",5,"29.0",2,167,6,27.8333333333333,5.75862068965517,29,88,0,0,"3/44"
"M Gaur","Thunder",2023,"Rachael Heyhoe Flint Trophy",5,"37.0",2,175,6,29.1666666666667,4.72972972972973,37,141,0,0,"3/39"
