"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_runs","winner_wickets","outcome","method"
1355607,5,"Welsh Fire","Manchester Originals","male","2023",2023-08-02,"The Hundred Men's Competition","2","Sophia Gardens, Cardiff","Cardiff","Manchester Originals","field","LWP Wells","BJ Debenham","ID Blackwell","AC Harris","PK Baldwin","SG Hinks","Welsh Fire",9,NA,NA,NA
1355608,5,"London Spirit","Oval Invincibles","male","2023",2023-08-02,"The Hundred Men's Competition","3","Lord's, London","London","Oval Invincibles","field","SP Narine","GD Lloyd","M Burns","PR Pollard","SJ O'Shaughnessy","WR Smith","Oval Invincibles",NA,3,NA,NA
1355609,5,"Birmingham Phoenix","Northern Superchargers","male","2023",2023-08-03,"The Hundred Men's Competition","4","Headingley, Leeds","Leeds","Northern Superchargers","field",NA,"RA Kettleborough","RJ Warren","N Pratt","NJ Llong","DA Cosker",NA,NA,NA,"no result",NA
1355610,5,"Southern Brave","Welsh Fire","male","2023",2023-08-04,"The Hundred Men's Competition","5","The Rose Bowl, Southampton","Southampton","Welsh Fire","field","CJ Jordan","BJ Debenham","James Middlebrook","Mark Newell","PK Baldwin","WR Smith","Southern Brave",2,NA,NA,NA
1355611,5,"Manchester Originals","London Spirit","male","2023",2023-08-05,"The Hundred Men's Competition","6","Old Trafford, Manchester","Manchester","London Spirit","field",NA,"GD Lloyd","SJ O'Shaughnessy","Naeem Ashraf","S Redfern","DA Cosker",NA,NA,NA,"no result",NA
1355613,5,"Northern Superchargers","Southern Brave","male","2023",2023-08-06,"The Hundred Men's Competition","8","The Rose Bowl, Southampton","Southampton","Southern Brave","field","MW Short","BJ Debenham","ID Blackwell","BJ Peverall","NL Bainton","Phil Whitticase","Northern Superchargers",60,NA,NA,NA
1355614,5,"Welsh Fire","Oval Invincibles","male","2023",2023-08-06,"The Hundred Men's Competition","9","Kennington Oval, London","London","Welsh Fire","bat","TK Curran","PR Pollard","Tom Lungley","James Middlebrook","PK Baldwin","JJ Whitaker",NA,NA,NA,"tie",NA
1355615,5,"Manchester Originals","Birmingham Phoenix","male","2023",2023-08-07,"The Hundred Men's Competition","10","Old Trafford, Manchester","Manchester","Birmingham Phoenix","field","Usama Mir","Hassan Adnan","RA Kettleborough","Naeem Ashraf","SJ O'Shaughnessy","SJ Davis","Manchester Originals",49,NA,NA,NA
1355616,5,"Southern Brave","London Spirit","male","2023",2023-08-08,"The Hundred Men's Competition","11","Lord's, London","London","London Spirit","field",NA,"LB Gcuma","PR Pollard","JC Tredwell","NL Bainton","Phil Whitticase",NA,NA,NA,"no result",NA
1355617,5,"Northern Superchargers","Trent Rockets","male","2023",2023-08-09,"The Hundred Men's Competition","12","Trent Bridge, Nottingham","Nottingham","Trent Rockets","field","D Wiese","Mark Newell","RA Kettleborough","ID Blackwell","GD Lloyd","DA Cosker","Northern Superchargers",3,NA,NA,NA
1355618,5,"Oval Invincibles","Manchester Originals","male","2023",2023-08-09,"The Hundred Men's Competition","13","Kennington Oval, London","London","Manchester Originals","field","H Klaasen","LB Gcuma","Rob White","JD Shantry","NL Bainton","AJ Swann","Oval Invincibles",94,NA,NA,NA
1355619,5,"Birmingham Phoenix","Welsh Fire","male","2023",2023-08-10,"The Hundred Men's Competition","14","Edgbaston, Birmingham","Birmingham","Birmingham Phoenix","bat","SS Eskinazi","RJ Bailey","Rob White","BJ Debenham","S Redfern","PM Such","Welsh Fire",NA,6,NA,NA
1355620,5,"Oval Invincibles","Northern Superchargers","male","2023",2023-08-11,"The Hundred Men's Competition","15","Headingley, Leeds","Leeds","Oval Invincibles","bat","JM Cox","RJ Warren","SJ O'Shaughnessy","N Pratt","GD Lloyd","AM Smith (2)","Oval Invincibles",9,NA,NA,NA
1355621,5,"London Spirit","Trent Rockets","male","2023",2023-08-12,"The Hundred Men's Competition","16","Lord's, London","London","Trent Rockets","field","DW Lawrence","James Middlebrook","RA Kettleborough","Naeem Ashraf","NL Bainton","SG Hinks","London Spirit",2,NA,NA,NA
1355622,5,"Welsh Fire","Southern Brave","male","2023",2023-08-12,"The Hundred Men's Competition","17","Sophia Gardens, Cardiff","Cardiff","Southern Brave","field","GHS Garton","Mark Newell","RJ Bailey","Rob White","AG Wharf","PM Such","Southern Brave",NA,9,NA,NA
1355623,5,"Manchester Originals","Northern Superchargers","male","2023",2023-08-13,"The Hundred Men's Competition","18","Headingley, Leeds","Leeds","Manchester Originals","bat","J Overton","DJ Millns","Tom Lungley","S Widdup","SJ O'Shaughnessy","AM Smith (2)","Manchester Originals",40,NA,NA,"D/L"
1355624,5,"Birmingham Phoenix","Oval Invincibles","male","2023",2023-08-13,"The Hundred Men's Competition","19","Edgbaston, Birmingham","Birmingham","Oval Invincibles","field","JL Smith","PR Pollard","RJ Warren","S Redfern","GD Lloyd","PM Such","Birmingham Phoenix",41,NA,NA,NA
1355625,5,"Trent Rockets","Welsh Fire","male","2023",2023-08-14,"The Hundred Men's Competition","20","Sophia Gardens, Cardiff","Cardiff","Welsh Fire","field","C Munro","GD Lloyd","ID Blackwell","Mark Newell","AG Wharf","Wayne Noon","Trent Rockets",4,NA,NA,NA
1355626,5,"Oval Invincibles","London Spirit","male","2023",2023-08-15,"The Hundred Men's Competition","21","Kennington Oval, London","London","Oval Invincibles","bat","WG Jacks","RA Kettleborough","RJ Warren","S Redfern","NJ Llong","Wayne Noon","Oval Invincibles",2,NA,NA,NA
