"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_wickets","winner_runs","method","outcome"
1355593,5,"Southern Brave","Birmingham Phoenix","female","2023",2023-08-16,"The Hundred Women's Competition","22","The Rose Bowl, Southampton","Southampton","Southern Brave","bat","DN Wyatt","ID Blackwell","WRP Fernando","F Richards","DJ Millns","SM Bartlett","Southern Brave",NA,3,NA,NA
1355594,5,"Manchester Originals","Trent Rockets","female","2023",2023-08-17,"The Hundred Women's Competition","23","Trent Bridge, Nottingham","Nottingham","Manchester Originals","bat","BF Smith","AY Harris","NL Bainton","N Pratt","J Naeem","AM Smith","Trent Rockets",9,NA,NA,NA
1355595,5,"London Spirit","Northern Superchargers","female","2023",2023-08-18,"The Hundred Women's Competition","24","Lord's, London","London","Northern Superchargers","field","P Litchfield","S Redfern","Surendiran Shanmugam","F Richards","M Burns","H Pack","Northern Superchargers",4,NA,NA,NA
1355596,5,"Trent Rockets","Birmingham Phoenix","female","2023",2023-08-19,"The Hundred Women's Competition","25","Trent Bridge, Nottingham","Nottingham","Trent Rockets","bat","BF Smith","G Bambury","Tom Lungley","WRP Fernando","DJ Millns","Wayne Noon","Trent Rockets",NA,3,NA,NA
1355597,5,"Oval Invincibles","Southern Brave","female","2023",2023-08-19,"The Hundred Women's Competition","26","The Rose Bowl, Southampton","Southampton","Oval Invincibles","bat","GL Adams","AC Harris","S McLelland","AY Harris","M Burns","H Pack","Southern Brave",7,NA,NA,NA
1355598,5,"Northern Superchargers","Manchester Originals","female","2023",2023-08-20,"The Hundred Women's Competition","27","Old Trafford, Manchester","Manchester","Northern Superchargers","bat","KE Bryce","J Naeem","RA Kettleborough","WRP Fernando","GD Lloyd","Phil Whitticase","Manchester Originals",3,NA,NA,NA
1355599,5,"Welsh Fire","London Spirit","female","2023",2023-08-20,"The Hundred Women's Competition","28","Sophia Gardens, Cardiff","Cardiff","London Spirit","field","SIR Dunkley","AY Harris","Surendiran Shanmugam","S McLelland","PK Baldwin","SJ Davis","Welsh Fire",NA,23,NA,NA
1355600,5,"Oval Invincibles","Trent Rockets","female","2023",2023-08-21,"The Hundred Women's Competition","29","Kennington Oval, London","London","Oval Invincibles","bat","N de Klerk","AC Harris","S McLelland","F Richards","NJ Llong","H Pack","Oval Invincibles",NA,3,NA,NA
1355601,5,"Northern Superchargers","Welsh Fire","female","2023",2023-08-22,"The Hundred Women's Competition","30","Headingley, Leeds","Leeds","Northern Superchargers","bat","M Kelly","MJ Saggers","PK Baldwin","WRP Fernando","AY Harris","SM Bartlett","Northern Superchargers",NA,16,NA,NA
1355602,5,"Manchester Originals","Southern Brave","female","2023",2023-08-23,"The Hundred Women's Competition","31","Old Trafford, Manchester","Manchester","Southern Brave","field","DN Wyatt","Hassan Adnan","S Redfern","WRP Fernando","DJ Millns","SG Hinks","Southern Brave",8,NA,NA,NA
1355603,5,"London Spirit","Birmingham Phoenix","female","2023",2023-08-24,"The Hundred Women's Competition","32","Edgbaston, Birmingham","Birmingham","Birmingham Phoenix","field","GM Harris","S McLelland","Surendiran Shanmugam","AC Harris","MJ Saggers","Phil Whitticase","London Spirit",NA,73,NA,NA
1355604,5,"Welsh Fire","Northern Superchargers","female","2023",2023-08-26,"The Hundred Women's Competition",NA,"Kennington Oval, London","London","Welsh Fire","bat",NA,"Mark Newell","S Redfern","AY Harris","J Naeem","H Pack",NA,NA,NA,NA,"no result"
