"match_id","balls_per_over","team1","team2","gender","season","date","event","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","match_referee","winner","winner_runs","winner_innings","outcome","winner_wickets","tv_umpire","toss_uncontested","match_number"
692867,6,"Leicestershire","Derbyshire","male","2014",2014-06-08,"LV= County Championship","Grace Road, Leicester","Leicester","Leicestershire","bat",NA,"RA Kettleborough","GD Lloyd",NA,NA,"Derbyshire",NA,NA,NA,9,NA,NA,NA
692929,6,"Worcestershire","Hampshire","male","2014",2014-06-08,"LV= County Championship","County Ground, New Road, Worcester","Worcester","Worcestershire","bat",NA,"MJD Bodenham","NA Mallender",NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
692931,6,"Gloucestershire","Surrey","male","2014",2014-06-09,"LV= County Championship","County Ground, Bristol","Bristol","Gloucestershire","bat",NA,"RT Robinson","BV Taylor",NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
692789,6,"Middlesex","Nottinghamshire","male","2014",2014-06-14,"LV= County Championship","Trent Bridge, Nottingham","Nottingham","Nottinghamshire","field",NA,"NA Mallender","PJ Hartley",NA,NA,"Nottinghamshire",NA,NA,NA,6,NA,NA,NA
692791,6,"Northamptonshire","Warwickshire","male","2014",2014-06-15,"LV= County Championship","County Ground, Northampton","Northampton","Northamptonshire","bat",NA,"JW Lloyds","GD Lloyd",NA,NA,"Warwickshire",105,"1",NA,NA,NA,NA,NA
692793,6,"Durham","Lancashire","male","2014",2014-06-15,"LV= County Championship","Riverside Ground, Chester-le-Street","Chester-le-Street","Lancashire","field",NA,"MJD Bodenham","G Sharp",NA,NA,"Durham",27,NA,NA,NA,NA,NA,NA
692933,6,"Kent","Glamorgan","male","2014",2014-06-15,"LV= County Championship","Sophia Gardens, Cardiff","Cardiff","Kent","bat",NA,"NGC Cowley","AG Wharf",NA,NA,"Glamorgan",11,"1",NA,NA,NA,NA,NA
692935,6,"Worcestershire","Leicestershire","male","2014",2014-06-15,"LV= County Championship","Grace Road, Leicester","Leicester","Leicestershire","field",NA,"NJ Llong","SA Garratt",NA,NA,"Worcestershire",234,NA,NA,NA,NA,NA,NA
692937,6,"Derbyshire","Surrey","male","2014",2014-06-15,"LV= County Championship","County Ground, Derby","Derby","Derbyshire","bat",NA,"MJ Saggers","DJ Millns",NA,NA,"Surrey",NA,NA,NA,10,NA,NA,NA
692939,6,"Hampshire","Essex","male","2014",2014-06-15,"LV= County Championship","The Rose Bowl, Southampton","Southampton","Essex","field",NA,"JH Evans","RJ Bailey",NA,NA,"Hampshire",470,NA,NA,NA,NA,NA,NA
