"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_wickets","winner_runs","method","outcome","eliminator"
652315,6,"Lions","Dolphins","male","2013/14",2014-02-02,"Ram Slam T20 Challenge",NA,"New Wanderers Stadium, Johannesburg","Johannesburg","Dolphins","field","AM Phangiso","A Paleker","DJ Smith","GH Pienaar","RN Birkenstock","CJ Mitchley","Lions",NA,7,NA,NA,NA
716623,6,"Dolphins","Titans","male","2013/14",2014-02-06,"Ram Slam T20 Challenge",NA,"Kingsmead, Durban","Durban","Titans","field","M Shezi","AT Holdstock","IL Howell","LB Gcuma","DJ Smith","S Wadvalla","Dolphins",NA,31,NA,NA,NA
652319,6,"Dolphins","Cape Cobras","male","2013/14",2014-02-09,"Ram Slam T20 Challenge",NA,"Newlands, Cape Town","Cape Town","Dolphins","bat","MN van Wyk","AT Holdstock","DJ Smith","EC Hendrikse","MW Brown","SB Lambson","Dolphins",NA,2,NA,NA,NA
736255,6,"Knights","Warriors","male","2014/15",2014-11-02,"Ram Slam T20 Challenge",NA,"New Wanderers Stadium, Johannesburg","Johannesburg","Warriors","field","D du Preez","BP Jele","DJ Smith","GH Pienaar","S George","D Govindjee","Knights",NA,74,NA,NA,NA
736257,6,"Cape Cobras","Titans","male","2014/15",2014-11-02,"Ram Slam T20 Challenge",NA,"New Wanderers Stadium, Johannesburg","Johannesburg","Titans","field","RE Levi","A Paleker","S George","BP Jele","AT Holdstock","S Wadvalla","Cape Cobras",NA,14,NA,NA,NA
736259,6,"Dolphins","Lions","male","2014/15",2014-11-02,"Ram Slam T20 Challenge",NA,"New Wanderers Stadium, Johannesburg","Johannesburg","Dolphins","bat","CH Gayle","DJ Smith","S George","GH Pienaar","AT Holdstock","SB Lambson","Lions",6,NA,NA,NA,NA
736261,6,"Dolphins","Warriors","male","2014/15",2014-11-05,"Ram Slam T20 Challenge",NA,"Kingsmead, Durban","Durban","Dolphins","bat","VB van Jaarsveld","BM White","GH Pienaar","LB Gcuma","DJ Smith","A Barnes","Dolphins",NA,54,NA,NA,NA
736263,6,"Dolphins","Cape Cobras","male","2014/15",2014-11-07,"Ram Slam T20 Challenge",NA,"Newlands, Cape Town","Cape Town","Dolphins","bat","RE Levi","BG Jerling","GH Pienaar","CD Isaacs",NA,"A Barnes","Cape Cobras",8,NA,NA,NA,NA
736265,6,"Warriors","Lions","male","2014/15",2014-11-07,"Ram Slam T20 Challenge",NA,"Buffalo Park, East London","East London","Warriors","bat","CH Gayle","DJ Smith","LB Gcuma","IL Howell",NA,"D Govindjee","Lions",10,NA,NA,NA,NA
736267,6,"Knights","Titans","male","2014/15",2014-11-07,"Ram Slam T20 Challenge",NA,"SuperSport Park, Centurion","Centurion","Titans","field","DJG Sammy","EC Hendrikse","MW Brown","A Paleker","BM White","SB Lambson","Knights",NA,35,NA,NA,NA
736269,6,"Dolphins","Titans","male","2014/15",2014-11-09,"Ram Slam T20 Challenge",NA,"Kingsmead, Durban","Durban","Dolphins","bat","KA Maharaj","BG Jerling","S George","DJ Smith","LB Gcuma","SB Lambson","Dolphins",NA,64,NA,NA,NA
736275,6,"Dolphins","Warriors","male","2014/15",2014-11-14,"Ram Slam T20 Challenge",NA,"St George's Park, Port Elizabeth","Port Elizabeth","Dolphins","bat","DJ Bravo","BM White","IL Howell","BG Jerling",NA,"D Govindjee","Warriors",7,NA,NA,NA,NA
736277,6,"Titans","Knights","male","2014/15",2014-11-14,"Ram Slam T20 Challenge",NA,"Chevrolet Park, Bloemfontein","Bloemfontein","Knights","field","Q Friend","AT Holdstock","A Paleker","JAS Morton",NA,"A Barnes","Knights",8,NA,NA,NA,NA
736279,6,"Lions","Cape Cobras","male","2014/15",2014-11-14,"Ram Slam T20 Challenge",NA,"New Wanderers Stadium, Johannesburg","Johannesburg","Cape Cobras","field","HE van der Dussen","JD Cloete","M Erasmus","RN Birkenstock","GH Pienaar","S Wadvalla","Lions",NA,47,NA,NA,NA
736283,6,"Warriors","Lions","male","2014/15",2014-11-16,"Ram Slam T20 Challenge",NA,"Kingsmead, Durban","Durban","Lions","field","T Bavuma","JD Cloete","LB Gcuma","A Paleker","M Erasmus","D Govindjee","Lions",6,NA,NA,NA,NA
736285,6,"Dolphins","Knights","male","2014/15",2014-11-16,"Ram Slam T20 Challenge",NA,"Kingsmead, Durban","Durban","Dolphins","bat",NA,"DJ Smith","M Erasmus","LB Gcuma","JD Cloete","D Govindjee",NA,NA,NA,NA,"no result",NA
736287,6,"Knights","Warriors","male","2014/15",2014-11-21,"Ram Slam T20 Challenge",NA,"Buffalo Park, East London","East London","Warriors","field","JT Smuts","JD Cloete","LB Gcuma","LJ Willemse","IL Howell","A Barnes","Warriors",8,NA,NA,NA,NA
736289,6,"Dolphins","Cape Cobras","male","2014/15",2014-11-21,"Ram Slam T20 Challenge",NA,"Kingsmead, Durban","Durban","Cape Cobras","field","RE Levi","A Paleker","S George","DJ Smith",NA,"D Govindjee","Cape Cobras",7,NA,NA,NA,NA
736291,6,"Titans","Lions","male","2014/15",2014-11-21,"Ram Slam T20 Challenge",NA,"Willowmoore Park, Benoni","Benoni","Lions","field","H Davids","EC Hendrikse","M Erasmus","BM White",NA,"S Wadvalla","Titans",NA,27,"D/L",NA,NA
736293,6,"Cape Cobras","Lions","male","2014/15",2014-11-23,"Ram Slam T20 Challenge",NA,"Newlands, Cape Town","Cape Town","Cape Cobras","bat","DJ Vilas","AT Holdstock","LB Gcuma","CD Isaacs","MW Brown","A Barnes","Cape Cobras",NA,77,NA,NA,NA
