"striker","start_date","batting_team","bowling_team","innings","Runs","BallsFaced","Fours","Sixes","StrikeRate","NotOuts","Average","Hundreds","Fifties","HighScore","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"PSP Handscomb",2023-03-23,"Victoria","Western Australia",2,63,100,7,0,63,0,31.5,0,1,52,"Sheffield Shield","2022/23",1322426,"Western Australia Cricket Association Ground, Perth","Perth","Victoria","Western Australia","Western Australia","field","AJ Turner","Western Australia","9",NA
"DA Warner",2017-11-13,"New South Wales","Queensland",2,63,92,12,0,68.4782608695652,0,31.5,0,0,37,"Sheffield Shield","2017/18",1118871,"Allan Border Field, Brisbane","Brisbane","Queensland","New South Wales","Queensland","bat","DP Hughes","New South Wales","6",NA
"MC Henriques",2023-02-21,"New South Wales","Queensland",2,63,91,9,0,69.2307692307692,0,31.5,0,0,40,"Sheffield Shield","2022/23",1322419,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","New South Wales","Queensland","Queensland","field","JJ Peirson","Queensland","5",NA
"SM Whiteman",2022-03-23,"Western Australia","Victoria",1,63,85,11,0,74.1176470588235,0,63,0,1,63,"Sheffield Shield","2021/22",1270461,"Western Australia Cricket Association Ground, Perth","Perth","Victoria","Western Australia","Western Australia","field","HWR Cartwright","Western Australia",NA,"51"
"CJ Green",2024-03-01,"New South Wales","South Australia",1,63,71,4,3,88.7323943661972,1,Inf,0,1,63,"Sheffield Shield","2023/24",1391794,"Cricket Central, Sydney","Sydney","South Australia","New South Wales","New South Wales","field","DP Hughes",NA,NA,NA
"DT Christian",2017-03-26,"Victoria","South Australia",2,62,213,6,0,29.1079812206573,0,31,0,1,58,"Sheffield Shield","2016/17",1036431,"Traeger Park, Alice Springs","Alice Springs","Victoria","South Australia","Victoria","bat","JM Holland",NA,NA,NA
"JC Silk",2018-11-05,"Tasmania","New South Wales",2,62,210,4,0,29.5238095238095,0,31,0,0,39,"Sheffield Shield","2018/19",1150114,"Sydney Cricket Ground","Sydney","New South Wales","Tasmania","New South Wales","bat","JJS Sangha",NA,NA,NA
"JD Wildermuth",2023-10-04,"Queensland","New South Wales",2,62,199,3,0,31.1557788944724,1,62,0,1,52,"Sheffield Shield","2023/24",1391771,"Cricket Central, Sydney","Sydney","Queensland","New South Wales","New South Wales","field","J Edwards",NA,NA,NA
"MS Wade",2023-10-15,"Tasmania","Western Australia",2,62,171,8,0,36.2573099415205,0,31,0,1,51,"Sheffield Shield","2023/24",1391775,"Western Australia Cricket Association Ground, Perth","Perth","Tasmania","Western Australia","Tasmania","bat","SM Whiteman",NA,NA,NA
"PM Nevill",2021-03-06,"New South Wales","South Australia",1,62,165,8,0,37.5757575757576,0,62,0,1,62,"Sheffield Shield","2020/21",1251095,"Adelaide Oval","Adelaide","South Australia","New South Wales","South Australia","bat","SA Abbott","New South Wales","6",NA
"MS Wade",2021-03-20,"Tasmania","New South Wales",2,62,161,7,0,38.5093167701863,0,31,0,1,57,"Sheffield Shield","2020/21",1244510,"Bellerive Oval, Hobart","Hobart","Tasmania","New South Wales","New South Wales","field","JM Bird","Tasmania",NA,"298"
"JR Philippe",2021-10-17,"Western Australia","Tasmania",2,62,150,7,0,41.3333333333333,0,31,0,1,60,"Sheffield Shield","2021/22",1270452,"Western Australia Cricket Association Ground, Perth","Perth","Western Australia","Tasmania","Tasmania","field","L Neil-Smith","Tasmania","3",NA
"TD Paine",2020-02-14,"Tasmania","Queensland",2,62,139,8,1,44.6043165467626,0,31,0,1,61,"Marsh Sheffield Shield","2019/20",1196134,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Tasmania","Queensland","Queensland","field","MG Neser","Queensland","10",NA
"J Weatherald",2017-03-26,"South Australia","Victoria",2,62,137,8,0,45.2554744525547,0,31,0,1,60,"Sheffield Shield","2016/17",1036431,"Traeger Park, Alice Springs","Alice Springs","Victoria","South Australia","Victoria","bat","JM Holland",NA,NA,NA
"DP Hughes",2020-02-14,"New South Wales","Victoria",2,62,134,8,0,46.2686567164179,0,31,0,0,31,"Marsh Sheffield Shield","2019/20",1196132,"Sydney Cricket Ground","Sydney","Victoria","New South Wales","Victoria","bat","NJ Maddinson","Victoria",NA,"112"
"JA Freeman",2021-02-17,"Tasmania","Queensland",2,62,121,10,0,51.2396694214876,0,31,0,0,38,"Sheffield Shield","2020/21",1244519,"Bellerive Oval, Hobart","Hobart","Tasmania","Queensland","Queensland","field","JA Burns","Queensland","3",NA
"BJ Webster",2023-10-03,"Tasmania","South Australia",1,62,120,8,0,51.6666666666667,0,62,0,1,62,"Sheffield Shield","2023/24",1391770,"Karen Rolton Oval, Adelaide","Adelaide","South Australia","Tasmania","South Australia","bat","CA Wakim","Tasmania","7",NA
"JJ Peirson",2020-10-10,"Queensland","Tasmania",1,62,120,9,0,51.6666666666667,0,62,0,1,62,"Sheffield Shield","2020/21",1233444,"Park 25 No 2, Adelaide","Adelaide","Tasmania","Queensland","Tasmania","bat","MG Neser","Queensland",NA,"59"
