"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"SA Abbott","New South Wales","2017/18","Sheffield Shield",2,30,4,107,5,21.4,3.56666666666667,36,133,1,0,"4/65"
"DJM Short","Western Australia","2021/22","Sheffield Shield",4,23.4,0,110,5,22,4.64788732394366,28.4,90,0,0,"2/37"
"PR George","Queensland","2018/19","Sheffield Shield",2,43,12,114,5,22.8,2.65116279069767,51.6,211,1,0,"4/76"
"R Hadley","New South Wales","2022/23","Sheffield Shield",2,36,3,119,5,23.8,3.30555555555556,43.2,148,0,0,"3/75"
"M Labuschagne","Queensland","2017/18","Sheffield Shield",3,28.4,3,120,5,24,4.18604651162791,34.4,114,0,0,"3/85"
"NA McSweeney","South Australia","2021/22","Sheffield Shield",3,43,6,125,5,25,2.90697674418605,51.6,184,1,0,"4/89"
"W Parker","Victoria","2019/20","Marsh Sheffield Shield",4,46,11,129,5,25.8,2.80434782608696,55.2,197,0,0,"3/54"
"DMK Grant","South Australia","2022/23","Sheffield Shield",2,39,4,155,5,31,3.97435897435897,46.8,168,1,0,"4/82"
"B Stanlake","Queensland","2019/20","Marsh Sheffield Shield",4,50.1,11,160,5,32,3.18936877076412,60.2,233,0,0,"2/39"
"LC Hatcher","New South Wales","2021/22","Sheffield Shield",2,40.1,6,161,5,32.2,4.00829875518672,48.2,167,1,0,"4/86"
"T Sangha","New South Wales","2023/24","Sheffield Shield",2,47,5,177,5,35.4,3.76595744680851,56.4,192,1,0,"4/116"
"BAD Manenti","Tasmania","2021/22","Sheffield Shield",2,62.4,11,190,5,38,3.03191489361702,75.2,277,0,0,"3/89"
"TM Head","South Australia","2021/22","Sheffield Shield",7,60,7,203,5,40.6,3.38333333333333,72,243,0,0,"2/22"
"JJ Bazley","Queensland","2022/23","Sheffield Shield",5,72,19,210,5,42,2.91666666666667,86.4,345,0,0,"2/23"
"BJ Webster","Tasmania","2021/22","Sheffield Shield",6,75,13,221,5,44.2,2.94666666666667,90,340,0,0,"3/40"
"TM Head","South Australia","2018/19","Sheffield Shield",7,70.2,8,221,5,44.2,3.14218009478673,84.4,297,0,0,"2/26"
"CJ Rocchiccioli","Western Australia","2021/22","Sheffield Shield",4,73.2,7,234,5,46.8,3.19090909090909,88,318,0,0,"2/24"
"TM Head","South Australia","2017/18","Sheffield Shield",7,89.2,16,289,5,57.8,3.23507462686567,107.2,361,0,0,"2/23"
"HWR Cartwright","Western Australia","2018/19","Sheffield Shield",3,11,0,36,4,9,3.27272727272727,16.5,52,0,0,"2/3"
"DJM Short","Western Australia","2017/18","Sheffield Shield",2,12.5,4,43,4,10.75,3.35064935064935,19.25,59,0,0,"2/20"
"HWR Cartwright","Western Australia","2021/22","Sheffield Shield",4,18,2,71,4,17.75,3.94444444444444,27,74,1,0,"4/23"
"L Neil-Smith","Tasmania","2020/21","Sheffield Shield",2,23,5,75,4,18.75,3.26086956521739,34.5,101,0,0,"2/28"
"NA McSweeney","South Australia","2023/24","Sheffield Shield",8,30,4,76,4,19,2.53333333333333,45,130,0,0,"2/6"
"CH Stobo","New South Wales","2017/18","Sheffield Shield",2,18,4,80,4,20,4.44444444444444,27,83,0,0,"3/32"
"L Scott","South Australia","2023/24","Sheffield Shield",4,36.3,11,84,4,21,2.3013698630137,54.75,184,1,0,"4/18"
"MR Marsh","Western Australia","2017/18","Sheffield Shield",2,26,5,84,4,21,3.23076923076923,39,119,1,0,"4/50"
"BL Edwards","Queensland","2019/20","Marsh Sheffield Shield",2,28,4,92,4,23,3.28571428571429,42,126,0,0,"2/28"
"JL Pattinson","Victoria","2016/17","Sheffield Shield",2,29,6,92,4,23,3.17241379310345,43.5,134,0,0,"2/45"
"MW Short","Victoria","2018/19","Sheffield Shield",6,28,6,96,4,24,3.42857142857143,42,120,0,0,"2/19"
"M Labuschagne","Queensland","2019/20","Marsh Sheffield Shield",7,27.4,4,101,4,25.25,3.65060240963855,41.5,118,0,0,"1/10"
"XA Crone","Victoria","2021/22","Sheffield Shield",2,21,2,103,4,25.75,4.90476190476191,31.5,85,0,0,"2/32"
"BJ Webster","Tasmania","2017/18","Sheffield Shield",3,31.3,4,108,4,27,3.42857142857143,47.25,135,0,0,"3/83"
