"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"JE Taylor",2018-08-01,"Hampshire","Somerset",2,"4.0",0,15,5,3.75,14,"Vitality Blast",2018,1127514,"The Cooper Associates County Ground","Taunton","Somerset","Hampshire","Hampshire","field","JE Taylor","Somerset",NA,"16"
"NA Sowter",2023-05-26,"Northamptonshire","Durham",1,"4.0",0,15,5,3.75,14,"Vitality Blast",2023,1347579,"County Ground, Northampton","Northampton","Northamptonshire","Durham","Northamptonshire","bat",NA,"Durham","10",NA
"ST Finn",2019-08-08,"Surrey","Middlesex",2,"4.0",0,16,5,4,15,"Vitality Blast",2019,1167189,"Lord's","London","Middlesex","Surrey","Surrey","field","ST Finn","Middlesex",NA,"64"
"TMJ Smith",2020-09-02,"Birmingham Bears","Gloucestershire",2,"3.0",0,16,5,5.33333333333333,11,"Vitality Blast",2020,1207729,"Edgbaston","Birmingham","Gloucestershire","Birmingham Bears","Birmingham Bears","field","IA Cockbain","Gloucestershire",NA,"57"
"LA Dawson",2016-07-29,"Somerset","Hampshire",2,"4.0",0,17,5,4.25,12,"NatWest T20 Blast",2016,947339,"The Rose Bowl","Southampton","Hampshire","Somerset","Hampshire","bat","TP Alsop","Hampshire",NA,"83"
"MG Hogan",2017-08-03,"Gloucestershire","Glamorgan",1,"4.0",0,17,5,4.25,12,"NatWest T20 Blast",2017,1068377,"Sophia Gardens","Cardiff","Gloucestershire","Glamorgan","Glamorgan","field","MG Hogan","Gloucestershire",NA,"5"
"TE Bailey",2020-08-29,"Leicestershire","Lancashire",1,"4.0",0,17,5,4.25,16,"Vitality Blast",2020,1207708,"Grace Road","Leicester","Leicestershire","Lancashire","Lancashire","field",NA,NA,NA,NA
"BAC Howell",2019-07-19,"Glamorgan","Gloucestershire",1,"4.0",0,18,5,4.5,15,"Vitality Blast",2019,1167133,"College Ground","Cheltenham","Gloucestershire","Glamorgan","Gloucestershire","field",NA,NA,NA,NA
"MG Hogan",2022-05-27,"Surrey","Glamorgan",2,"4.0",0,18,5,4.5,13,"Vitality Blast",2022,1297804,"Kennington Oval, London","London","Glamorgan","Surrey","Surrey","field",NA,"Surrey","4",NA
"Azeem Rafiq",2017-08-17,"Northamptonshire","Yorkshire",2,"4.0",0,19,5,4.75,13,"NatWest T20 Blast",2017,1068415,"Headingley","Leeds","Yorkshire","Northamptonshire","Yorkshire","bat","A Lyth","Yorkshire",NA,"124"
"BA Raine",2024-06-08,"Birmingham Bears","Durham",2,"3.4",0,21,5,5.72727272727273,9,"Vitality Blast",2024,1410401,"Edgbaston, Birmingham","Birmingham","Durham","Birmingham Bears","Durham","bat",NA,"Durham",NA,"26"
"Imran Qayyum",2019-07-20,"Somerset","Kent",2,"4.0",0,21,5,5.25,9,"Vitality Blast",2019,1167137,"St Lawrence Ground","Canterbury","Kent","Somerset","Kent","bat","Imran Qayyum","Kent",NA,"41"
"JA Thompson",2023-06-06,"Leicestershire","Yorkshire",2,"3.3",0,21,5,6,7,"Vitality Blast",2023,1347622,"Grace Road, Leicester","Leicester","Yorkshire","Leicestershire","Yorkshire","bat","D Wiese","Yorkshire",NA,"30"
"JEC Franklin",2015-05-28,"Kent","Middlesex",2,"4.0",0,21,5,5.25,9,"NatWest T20 Blast",2015,804485,"Lord's","London","Middlesex","Kent","Middlesex","bat","PR Stirling","Middlesex",NA,"115"
"TS Roland-Jones",2019-07-26,"Glamorgan","Middlesex",1,"3.3",0,21,5,6,10,"Vitality Blast",2019,1167157,"Sophia Gardens","Cardiff","Glamorgan","Middlesex","Middlesex","field","TS Roland-Jones","Middlesex","8",NA
"AJ Ireland",2014-07-06,"Derbyshire","Leicestershire",1,"3.5",1,22,5,5.73913043478261,14,"NatWest T20 Blast",2014,693189,"Queen's Park","Chesterfield","Derbyshire","Leicestershire","Leicestershire","field","AJ Ireland","Leicestershire","5",NA
"MD Fisher",2015-05-15,"Derbyshire","Yorkshire",1,"3.2",0,22,5,6.6,11,"NatWest T20 Blast",2015,804461,"Headingley","Leeds","Derbyshire","Yorkshire","Yorkshire","field","MD Fisher","Yorkshire","7",NA
"ME Milnes",2021-06-16,"Glamorgan","Kent",2,"3.4",0,22,5,6,10,"Vitality Blast",2021,1250268,"Sophia Gardens, Cardiff","Cardiff","Kent","Glamorgan","Kent","bat","ME Milnes","Kent",NA,"40"
"A Hepburn",2017-08-13,"Nottinghamshire","Worcestershire",1,"3.3",0,24,5,6.85714285714286,8,"NatWest T20 Blast",2017,1068404,"County Ground, New Road","Worcester","Nottinghamshire","Worcestershire","Worcestershire","field","A Hepburn","Nottinghamshire",NA,"11"
"D Wiese",2018-07-04,"Essex","Sussex",2,"4.0",0,24,5,6,14,"Vitality Blast",2018,1127448,"County Ground","Chelmsford","Sussex","Essex","Sussex","bat","D Wiese","Sussex",NA,"36"
"DA Payne",2015-06-14,"Middlesex","Gloucestershire",2,"3.3",0,24,5,6.85714285714286,7,"NatWest T20 Blast",2015,804551,"Old Deer Park","Richmond","Gloucestershire","Middlesex","Middlesex","field","IA Cockbain","Gloucestershire",NA,"43"
"L Gregory",2021-07-01,"Gloucestershire","Somerset",1,"4.0",0,24,5,6,11,"Vitality Blast",2021,1250323,"County Ground, Bristol","Bristol","Gloucestershire","Somerset","Somerset","field","L Gregory","Somerset","8",NA
