"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"JE Taylor",24,"84.5",0,781,36,21.6944444444444,9.20628683693517,14.1388888888889,182,1,1,"5/15"
"FJ Heldreich",28,"92.3",0,813,36,22.5833333333333,8.78918918918919,15.4166666666667,148,1,0,"4/27"
"JW Hastings",28,"100.3",0,832,35,23.7714285714286,8.27860696517413,17.2285714285714,243,1,0,"4/26"
"Rashid Khan",27,"105.0",0,748,34,22,7.12380952380952,18.5294117647059,210,0,0,"3/9"
"SP Narine",28,"110.5",1,767,34,22.5588235294118,6.9203007518797,19.5588235294118,228,0,0,"3/12"
"Yasir Arafat",32,"115.2",1,1012,34,29.7647058823529,8.77456647398844,20.3529411764706,221,1,0,"4/37"
"RAJ Smith",37,"121.4",2,1050,34,30.8823529411765,8.63013698630137,21.4705882352941,283,1,0,"4/6"
"TD Groenewald",40,"128.2",0,1109,34,32.6176470588235,8.64155844155844,22.6470588235294,226,0,0,"3/27"
"Saeed Ajmal",22,"87.0",2,585,33,17.7272727272727,6.72413793103448,15.8181818181818,210,0,0,"3/13"
"JA Brooks",34,"110.4",0,943,33,28.5757575757576,8.5210843373494,20.1212121212121,258,1,0,"4/51"
"S Mahmood",27,"81.0",2,650,32,20.3125,8.02469135802469,15.1875,214,1,0,"4/25"
"BC Cullen",23,"77.3",0,703,32,21.96875,9.07096774193548,14.53125,171,2,0,"4/32"
"Shahid Afridi",30,"115.0",0,765,32,23.90625,6.65217391304348,21.5625,256,2,0,"4/20"
"Azhar Mahmood",28,"104.2",2,814,32,25.4375,7.80191693290735,19.5625,240,1,0,"4/38"
"CR Woakes",26,"97.1",0,827,32,25.84375,8.51114922813036,18.21875,219,0,0,"3/25"
"CAJ Morris",30,"97.0",0,933,32,29.15625,9.61855670103093,18.1875,189,0,0,"3/21"
"DA Cosker",36,"123.1",0,984,32,30.75,7.98917456021651,23.09375,183,2,0,"4/25"
"Mohammad Amir",23,"87.0",1,610,31,19.6774193548387,7.01149425287356,16.8387096774194,239,1,0,"4/29"
"D Moriarty",32,"106.0",1,781,31,25.1935483870968,7.36792452830189,20.5161290322581,215,0,0,"3/25"
"TE Bailey",34,"88.0",0,811,31,26.1612903225806,9.21590909090909,17.0322580645161,201,0,1,"5/17"
"GD Elliott",35,"99.0",0,820,31,26.4516129032258,8.28282828282828,19.1612903225806,131,1,0,"4/37"
"FJ Hudson-Prentice",36,"93.3",1,929,31,29.9677419354839,9.93582887700535,18.0967741935484,183,0,0,"3/36"
"DM Bess",41,"123.0",0,940,31,30.3225806451613,7.64227642276423,23.8064516129032,210,0,0,"3/15"
"MW Pillans",33,"105.2",0,984,31,31.741935483871,9.34177215189873,20.3870967741935,221,0,0,"3/20"
"MH McKiernan",38,"117.0",0,1004,31,32.3870967741936,8.58119658119658,22.6451612903226,203,0,0,"3/9"
"SP Crook",47,"121.0",1,1052,31,33.9354838709677,8.69421487603306,23.4193548387097,231,0,0,"3/19"
"Junaid Khan",19,"73.0",1,529,30,17.6333333333333,7.24657534246575,14.6,170,1,0,"4/12"
"LH Ferguson",23,"85.0",1,588,30,19.6,6.91764705882353,17,233,2,0,"4/24"
"WG Jacks",36,"85.2",2,623,30,20.7666666666667,7.30078125,17.0666666666667,190,1,0,"4/15"
"DW Lawrence",37,"82.0",0,645,30,21.5,7.86585365853659,16.4,173,0,0,"3/21"
"CJ Liddle",33,"106.0",0,956,30,31.8666666666667,9.0188679245283,21.2,211,0,0,"3/25"
"GK Berg",38,"107.2",1,956,30,31.8666666666667,8.90683229813665,21.4666666666667,201,0,0,"3/34"
"JC Tredwell",43,"151.3",1,1186,30,39.5333333333333,7.82838283828383,30.3,248,0,0,"3/32"
"Shaheen Shah Afridi",21,"80.3",0,668,29,23.0344827586207,8.29813664596273,16.6551724137931,188,1,1,"6/19"
"JKH Naik",31,"102.0",0,724,29,24.9655172413793,7.09803921568627,21.1034482758621,188,0,0,"3/23"
"CJ Green",27,"93.2",0,756,29,26.0689655172414,8.1,19.3103448275862,177,0,1,"5/32"
"GL van Buuren",40,"106.3",0,842,29,29.0344827586207,7.90610328638498,22.0344827586207,188,0,0,"3/15"
"WB Rankin",30,"99.0",1,876,29,30.2068965517241,8.84848484848485,20.4827586206897,222,0,0,"3/26"
"ASS Nijjar",37,"123.3",0,1033,29,35.6206896551724,8.36437246963563,25.551724137931,251,0,0,"3/22"
"SW Currie",20,"62.5",0,547,28,19.5357142857143,8.70557029177719,13.4642857142857,127,2,0,"4/24"
"SW Tait",20,"69.0",0,561,28,20.0357142857143,8.1304347826087,14.7857142857143,176,0,0,"3/28"
"GJ Maxwell",37,"100.0",0,754,28,26.9285714285714,7.54,21.4285714285714,191,0,0,"3/15"
"Rehan Ahmed",26,"98.0",0,774,28,27.6428571428571,7.89795918367347,21,165,1,0,"4/22"
"MK Andersson",28,"77.4",0,850,28,30.3571428571429,10.9442060085837,16.6428571428571,144,0,0,"3/32"
"WJ Weighell",42,"116.3",0,1111,28,39.6785714285714,9.53648068669528,24.9642857142857,238,0,0,"3/28"
"GA Edwards",17,"57.2",0,509,27,18.8518518518519,8.87790697674419,12.7407407407407,132,1,0,"4/20"
"DR Mousley",25,"69.1",0,510,27,18.8888888888889,7.37349397590361,15.3703703703704,152,2,0,"4/28"
"MP Dunn",22,"65.2",0,597,27,22.1111111111111,9.13775510204082,14.5185185185185,153,0,0,"3/8"
"AC Thomas",21,"70.3",0,658,27,24.3703703703704,9.33333333333333,15.6666666666667,139,1,0,"4/37"
"PM Siddle",23,"74.5",0,660,27,24.4444444444444,8.8195991091314,16.6296296296296,154,0,0,"3/10"
"MJ Santner",26,"102.3",0,714,27,26.4444444444444,6.96585365853659,22.7777777777778,234,0,0,"3/16"
"CJ Haggett",29,"90.0",0,846,27,31.3333333333333,9.4,20,157,0,0,"2/12"
"SJ Thakor",25,"80.3",0,653,26,25.1153846153846,8.11180124223602,18.5769230769231,176,0,0,"3/17"
"GF Linde",27,"92.0",0,756,26,29.0769230769231,8.21739130434783,21.2307692307692,173,0,0,"3/21"
"Mohammad Nabi",30,"111.2",0,763,26,29.3461538461538,6.85329341317365,25.6923076923077,214,0,0,"2/13"
"Mujeeb Ur Rahman",28,"107.5",1,766,26,29.4615384615385,7.10355486862442,24.8846153846154,265,0,0,"2/18"
"RH Patel",29,"105.0",0,816,26,31.3846153846154,7.77142857142857,24.2307692307692,182,0,0,"3/36"
"Zaman Khan",14,"50.0",0,414,25,16.56,8.28,12,118,1,0,"4/21"
"LV van Beek",24,"67.5",0,625,25,25,9.21375921375921,16.28,161,1,0,"4/17"
"JEC Franklin",36,"77.1",0,701,25,28.04,9.08423326133909,18.52,109,0,1,"5/21"
"CA Ingram",36,"98.1",1,761,25,30.44,7.75212224108659,23.56,156,1,0,"4/32"
"BA Carse",43,"130.1",1,1157,25,46.28,8.88860435339309,31.24,302,0,0,"3/30"
"JP McIlroy",15,"53.5",0,491,24,20.4583333333333,9.12074303405573,13.4583333333333,107,1,0,"4/36"
