"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"BB McCullum",21,622,377,164.986737400531,32.7368421052632,56,39,2,1,3,158
"BBA Geddes",6,44,49,89.7959183673469,7.33333333333333,3,0,0,0,0,28
"BC Brown",35,501,413,121.307506053269,16.1612903225806,42,10,4,0,0,49
"BC Cullen",9,54,50,108,10.8,5,0,4,0,0,20
"BD Cotton",6,45,37,121.621621621622,22.5,2,2,4,0,0,30
"BD Glover",6,19,21,90.4761904761905,Inf,2,0,6,0,0,9
"BD Guest",40,597,425,140.470588235294,29.85,43,19,20,0,1,54
"BFW de Leede",6,120,93,129.032258064516,40,8,2,3,0,1,58
"BG Charlesworth",13,299,196,152.551020408163,24.9166666666667,30,13,1,0,2,56
"BG Whitehead",1,2,3,66.6666666666667,Inf,0,0,1,0,0,2
"BGF Green",35,496,356,139.325842696629,21.5652173913043,30,26,12,0,0,43
"BI Kellaway",2,4,10,40,2,0,0,0,0,0,3
"BJ Curran",21,378,298,126.845637583893,18,53,3,0,0,3,71
"BJ Currie",1,0,1,0,NA,0,0,1,0,0,0
"BJ Dwarshuis",9,52,55,94.5454545454545,13,4,0,5,0,0,15
"BJ McCarthy",5,10,14,71.4285714285714,3.33333333333333,1,0,2,0,0,7
"BJ Taylor",4,23,28,82.1428571428571,7.66666666666667,3,0,1,0,0,9
"BJ Wright",16,160,138,115.942028985507,12.3076923076923,14,5,3,0,1,63
"BJJ Wells",8,93,87,106.896551724138,13.2857142857143,7,4,1,0,0,43
"BL D'Oliveira",102,2108,1609,131.013051584835,24.5116279069767,189,56,16,0,12,71
"BM Duckett",111,2941,2100,140.047619047619,31.9673913043478,353,57,19,0,19,96
"BMJ Allison",6,17,21,80.9523809523809,5.66666666666667,0,0,3,0,0,6
"BO Coad",4,14,25,56,4.66666666666667,0,0,1,0,0,7
"BR McDermott",32,901,616,146.266233766234,30.0333333333333,86,49,2,0,9,83
"BRM Taylor",25,478,404,118.316831683168,23.9,51,6,5,0,2,67
"BT Foakes",50,835,671,124.441132637854,21.4102564102564,71,14,11,0,4,75
"BT Slater",10,144,125,115.2,14.4,18,3,0,0,0,48
"BTJ Wheal",7,26,27,96.2962962962963,6.5,4,0,3,0,0,16
