"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"Tamim Iqbal",2016-12-06,"Chittagong Vikings","Rajshahi Kings",1,51,46,6,0,110.869565217391,FALSE,"Bangladesh Premier League","2016/17",1063089,"Shere Bangla National Stadium, Mirpur","Dhaka","Chittagong Vikings","Rajshahi Kings","Rajshahi Kings","field","DJG Sammy","Rajshahi Kings","3",NA
"Mohammad Shahzad",2016-11-18,"Rangpur Riders","Comilla Victorians",2,51,49,2,3,104.081632653061,TRUE,"Bangladesh Premier League","2016/17",1063066,"Zahur Ahmed Chowdhury Stadium, Chittagong","Chattogram","Comilla Victorians","Rangpur Riders","Rangpur Riders","field","Mohammad Shahzad","Rangpur Riders","9",NA
"Rahmanullah Gurbaz",2019-12-12,"Khulna Tigers","Chattogram Challengers",2,50,19,4,5,263.157894736842,FALSE,"Bangladesh Premier League","2019/20",1208070,"Shere Bangla National Stadium, Mirpur","Dhaka","Chattogram Challengers","Khulna Tigers","Khulna Tigers","field","RR Rossouw","Khulna Tigers","8",NA
"Kabir Ali",2013-01-18,"Barisal Burners","Sylhet Royals",2,50,21,4,4,238.095238095238,FALSE,"Bangladesh Premier League","2012/13",599866,"Shere Bangla National Stadium, Mirpur","Dhaka","Sylhet Royals","Barisal Burners","Barisal Burners","field","PR Stirling","Sylhet Royals",NA,"33"
"KR Mayers",2024-02-26,"Fortune Barishal","Chattogram Challengers",2,50,26,3,5,192.307692307692,FALSE,"Bangladesh Premier League","2023/24",1412316,"Shere Bangla National Stadium, Mirpur","Dhaka","Chattogram Challengers","Fortune Barishal","Fortune Barishal","field","KR Mayers","Fortune Barishal","7",NA
"Mahmudullah",2019-01-19,"Khulna Titans","Chittagong Vikings",2,50,26,3,4,192.307692307692,FALSE,"Bangladesh Premier League","2018/19",1169400,"Sylhet International Cricket Stadium","Sylhet","Chittagong Vikings","Khulna Titans","Khulna Titans","field","Mushfiqur Rahim","Chittagong Vikings",NA,"26"
"Mahmudullah",2016-12-04,"Khulna Titans","Dhaka Dynamites",2,50,28,5,2,178.571428571429,FALSE,"Bangladesh Premier League","2016/17",1063088,"Shere Bangla National Stadium, Mirpur","Dhaka","Dhaka Dynamites","Khulna Titans","Khulna Titans","field","Mahmudullah","Khulna Titans","6",NA
"PR Stirling",2013-01-18,"Sylhet Royals","Barisal Burners",1,50,29,8,1,172.413793103448,FALSE,"Bangladesh Premier League","2012/13",599866,"Shere Bangla National Stadium, Mirpur","Dhaka","Sylhet Royals","Barisal Burners","Barisal Burners","field","PR Stirling","Sylhet Royals",NA,"33"
"RS Bopara",2020-01-02,"Rajshahi Royals","Rangpur Rangers",1,50,29,4,3,172.413793103448,TRUE,"Bangladesh Premier League","2019/20",1208095,"Sylhet International Cricket Stadium","Sylhet","Rajshahi Royals","Rangpur Rangers","Rangpur Rangers","field","RS Bopara","Rajshahi Royals",NA,"30"
"Mohammad Nabi",2024-01-26,"Rangpur Riders","Khulna Tigers",2,50,30,4,3,166.666666666667,FALSE,"Bangladesh Premier League","2023/24",1412282,"Sylhet International Cricket Stadium","Sylhet","Khulna Tigers","Rangpur Riders","Rangpur Riders","field","MD Shanaka","Khulna Tigers",NA,"28"
"Shakib Al Hasan",2022-02-01,"Fortune Barishal","Chattogram Challengers",1,50,31,3,3,161.290322580645,FALSE,"Bangladesh Premier League","2021/22",1296700,"Zahur Ahmed Chowdhury Stadium, Chattogram","Chattogram","Fortune Barishal","Chattogram Challengers","Fortune Barishal","bat","Shakib Al Hasan","Fortune Barishal",NA,"14"
"RN ten Doeschate",2013-02-09,"Chittagong Kings","Rangpur Riders",1,50,32,2,2,156.25,FALSE,"Bangladesh Premier League","2012/13",599897,"Shere Bangla National Stadium, Mirpur","Dhaka","Chittagong Kings","Rangpur Riders","Rangpur Riders","field","DP Hyatt","Rangpur Riders","5",NA
"BRM Taylor",2019-01-28,"Khulna Titans","Comilla Victorians",2,50,33,5,1,151.515151515152,FALSE,"Bangladesh Premier League","2018/19",1169411,"Zahur Ahmed Chowdhury Stadium, Chattogram","Chattogram","Comilla Victorians","Khulna Titans","Khulna Titans","field","E Lewis","Comilla Victorians",NA,"80"
"CAK Walton",2019-12-14,"Chattogram Challengers","Rangpur Rangers",2,50,34,4,3,147.058823529412,FALSE,"Bangladesh Premier League","2019/20",1208073,"Shere Bangla National Stadium, Mirpur","Dhaka","Rangpur Rangers","Chattogram Challengers","Chattogram Challengers","field","Mohammad Naim","Chattogram Challengers","6",NA
"Mohammad Mithun",2017-12-03,"Rangpur Riders","Khulna Titans",1,50,35,2,4,142.857142857143,TRUE,"Bangladesh Premier League","2017/18",1121282,"Shere Bangla National Stadium, Mirpur","Dhaka","Rangpur Riders","Khulna Titans","Khulna Titans","field","Mohammad Mithun","Rangpur Riders",NA,"19"
"Mushfiqur Rahim",2016-11-08,"Barisal Bulls","Dhaka Dynamites",1,50,36,4,2,138.888888888889,TRUE,"Bangladesh Premier League","2016/17",1063053,"Shere Bangla National Stadium, Mirpur","Dhaka","Barisal Bulls","Dhaka Dynamites","Dhaka Dynamites","field","Mehedi Maruf","Dhaka Dynamites","8",NA
"Tamim Iqbal",2013-02-04,"Duronto Rajshahi","Rangpur Riders",2,50,36,4,2,138.888888888889,FALSE,"Bangladesh Premier League","2012/13",599889,"Shere Bangla National Stadium, Mirpur","Dhaka","Rangpur Riders","Duronto Rajshahi","Rangpur Riders","bat","Tamim Iqbal","Duronto Rajshahi","7",NA
"CA Ingram",2022-01-29,"Sylhet Sunrisers","Chattogram Challengers",2,50,37,5,2,135.135135135135,FALSE,"Bangladesh Premier League","2021/22",1296696,"Zahur Ahmed Chowdhury Stadium, Chattogram","Chattogram","Chattogram Challengers","Sylhet Sunrisers","Sylhet Sunrisers","field","Mrittunjoy Chowdhury","Chattogram Challengers",NA,"16"
"Shakib Al Hasan",2022-02-07,"Fortune Barishal","Comilla Victorians",1,50,37,4,2,135.135135135135,FALSE,"Bangladesh Premier League","2021/22",1296705,"Sylhet International Cricket Stadium","Sylhet","Fortune Barishal","Comilla Victorians","Comilla Victorians","field","Shakib Al Hasan","Fortune Barishal",NA,"32"
"WU Tharanga",2017-11-07,"Sylhet Sixers","Rajshahi Kings",1,50,37,5,1,135.135135135135,FALSE,"Bangladesh Premier League","2017/18",1121250,"Sylhet International Cricket Stadium","Sylhet","Sylhet Sixers","Rajshahi Kings","Rajshahi Kings","field","MD Gunathilaka","Sylhet Sixers",NA,"33"
"Jahurul Islam",2013-01-20,"Duronto Rajshahi","Sylhet Royals",1,50,38,5,1,131.578947368421,FALSE,"Bangladesh Premier League","2012/13",599870,"Shere Bangla National Stadium, Mirpur","Dhaka","Duronto Rajshahi","Sylhet Royals","Duronto Rajshahi","bat","E Chigumbura","Sylhet Royals","4",NA
"Jahurul Islam",2017-12-12,"Dhaka Dynamites","Rangpur Riders",2,50,38,4,2,131.578947368421,FALSE,"Bangladesh Premier League","2017/18",1121290,"Shere Bangla National Stadium, Mirpur","Dhaka","Rangpur Riders","Dhaka Dynamites","Dhaka Dynamites","field","CH Gayle","Rangpur Riders",NA,"57"
"MN Samuels",2012-02-26,"Duronto Rajshahi","Khulna Royal Bengals",2,50,38,7,2,131.578947368421,FALSE,"Bangladesh Premier League","2011/12",551071,"Shere Bangla National Stadium, Mirpur","Dhaka","Khulna Royal Bengals","Duronto Rajshahi","Khulna Royal Bengals","bat","SM Ervine","Duronto Rajshahi","8",NA
"Naeem Islam",2013-02-02,"Chittagong Kings","Dhaka Gladiators",1,50,38,6,1,131.578947368421,FALSE,"Bangladesh Premier League","2012/13",599888,"MA Aziz Stadium, Chittagong","Chattogram","Chittagong Kings","Dhaka Gladiators","Dhaka Gladiators","field","Naeem Islam","Chittagong Kings",NA,"54"
"RS Bopara",2015-11-30,"Sylhet Super Stars","Comilla Victorians",2,50,38,4,1,131.578947368421,FALSE,"Bangladesh Premier League","2015/16",935309,"Zahur Ahmed Chowdhury Stadium, Chittagong","Chattogram","Comilla Victorians","Sylhet Super Stars","Sylhet Super Stars","field","RS Bopara","Sylhet Super Stars","4",NA
"Anamul Haque",2013-01-18,"Dhaka Gladiators","Khulna Royal Bengals",1,50,39,4,3,128.205128205128,FALSE,"Bangladesh Premier League","2012/13",599865,"Shere Bangla National Stadium, Mirpur","Dhaka","Dhaka Gladiators","Khulna Royal Bengals","Dhaka Gladiators","bat","OA Shah","Dhaka Gladiators",NA,"62"
"CH Gayle",2017-11-20,"Rangpur Riders","Sylhet Sixers",1,50,39,2,5,128.205128205128,FALSE,"Bangladesh Premier League","2017/18",1121266,"Shere Bangla National Stadium, Mirpur","Dhaka","Rangpur Riders","Sylhet Sixers","Sylhet Sixers","field","CH Gayle","Rangpur Riders",NA,"7"
"JC Buttler",2017-11-12,"Comilla Victorians","Rajshahi Kings",2,50,39,4,2,128.205128205128,TRUE,"Bangladesh Premier League","2017/18",1121256,"Shere Bangla National Stadium, Mirpur","Dhaka","Rajshahi Kings","Comilla Victorians","Comilla Victorians","field","Rashid Khan","Comilla Victorians","9",NA
"Anamul Haque",2016-11-18,"Chittagong Vikings","Rajshahi Kings",1,50,40,4,2,125,FALSE,"Bangladesh Premier League","2016/17",1063065,"Zahur Ahmed Chowdhury Stadium, Chittagong","Chattogram","Chittagong Vikings","Rajshahi Kings","Rajshahi Kings","field","Mohammad Nabi","Chittagong Vikings",NA,"19"
