"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"BD Cotton",2014-08-11,"Northamptonshire","Derbyshire",2,"6.0",0,42,2,7,16,"Royal London One-Day Cup",2014,693373,"County Ground, Northampton","Northampton","Derbyshire","Northamptonshire","Derbyshire","bat",NA,"Derbyshire",NA,"6"
"C Overton",2014-07-27,"Durham","Somerset",1,"10.0",1,42,2,4.2,35,"Royal London One-Day Cup",2014,693281,"County Ground, Taunton","Taunton","Durham","Somerset","Durham","bat",NA,"Somerset","5",NA
"CA Ingram",2022-08-04,"Kent","Glamorgan",1,"6.0",0,42,2,7,13,"Royal London One-Day Cup",2022,1297965,"County Ground, Chelmsford",NA,"Kent","Glamorgan","Glamorgan","field",NA,"Glamorgan","3",NA
"CF Hartley",2016-08-18,"Yorkshire","Kent",1,"10.0",0,42,2,4.2,32,"Royal London One-Day Cup",2016,947507,"St Lawrence Ground, Canterbury","Canterbury","Yorkshire","Kent","Kent","field",NA,"Yorkshire",NA,"11"
"CJ Jordan",2019-04-24,"Somerset","Sussex",1,"8.0",0,42,2,5.25,23,"Royal London One-Day Cup",2019,1167074,"County Ground, Hove","Brighton","Somerset","Sussex","Sussex","field",NA,"Somerset",NA,"68"
"D Moriarty",2024-08-02,"Gloucestershire","Yorkshire",1,"10.0",0,42,2,4.2,28,"One-Day Cup",2024,1415112,"York Cricket Club","York","Gloucestershire","Yorkshire","Gloucestershire","bat",NA,"Gloucestershire",NA,"36"
"GG Wagg",2018-05-25,"Kent","Glamorgan",2,"8.0",0,42,2,5.25,27,"Royal London One-Day Cup",2018,1127787,"St Lawrence Ground, Canterbury","Canterbury","Glamorgan","Kent","Kent","field",NA,"Kent","4",NA
"GG Wagg",2018-06-01,"Sussex","Glamorgan",1,"10.0",0,42,2,4.2,33,"Royal London One-Day Cup",2018,1127813,"Sophia Gardens, Cardiff","Cardiff","Sussex","Glamorgan","Glamorgan","field",NA,"Glamorgan","6",NA
"GJ Batty",2015-08-17,"Somerset","Surrey",2,"10.0",0,42,2,4.2,26,"Royal London One-Day Cup",2015,804835,"County Ground, Taunton","Taunton","Surrey","Somerset","Somerset","field",NA,"Somerset","3",NA
"GW Thomas",2023-08-17,"Durham","Somerset",1,"8.0",0,42,2,5.25,26,"One-Day Cup",2023,1347540,"Roseworth Terrace, Gosforth","Gosforth","Durham","Somerset","Somerset","field",NA,"Somerset","6",NA
"IG Holland",2023-08-08,"Essex","Hampshire",1,"9.0",0,42,2,4.66666666666667,32,"One-Day Cup",2023,1347510,"The Rose Bowl, Southampton","Southampton","Essex","Hampshire","Essex","bat",NA,"Hampshire","4",NA
"JAR Harris",2014-08-12,"Somerset","Glamorgan",2,"8.0",0,42,2,5.25,30,"Royal London One-Day Cup",2014,693377,"County Ground, Taunton","Taunton","Glamorgan","Somerset","Somerset","field",NA,"Glamorgan",NA,"95"
"JC Tredwell",2014-08-05,"Surrey","Kent",2,"10.0",0,42,2,4.2,30,"Royal London One-Day Cup",2014,693323,"Kennington Oval, London","London","Kent","Surrey","Kent","bat",NA,NA,NA,NA
"JH Davey",2021-08-08,"Northamptonshire","Somerset",1,"10.0",0,42,2,4.2,35,"Royal London One-Day Cup",2021,1250217,"County Ground, Northampton","Northampton","Northamptonshire","Somerset","Somerset","field",NA,"Northamptonshire",NA,"81"
"JL Pattinson",2019-04-28,"Yorkshire","Nottinghamshire",1,"10.0",1,42,2,4.2,34,"Royal London One-Day Cup",2019,1167088,"Trent Bridge, Nottingham","Nottingham","Yorkshire","Nottinghamshire","Yorkshire","bat",NA,"Nottinghamshire","4",NA
"JT Ball",2017-04-27,"Worcestershire","Nottinghamshire",2,"4.0",0,42,2,10.5,10,"Royal London One-Day Cup",2017,1068432,"County Ground, New Road, Worcester","Worcester","Nottinghamshire","Worcestershire","Worcestershire","field",NA,"Worcestershire","5",NA
"LA Dawson",2016-08-02,"Somerset","Hampshire",1,"10.0",0,42,2,4.2,31,"Royal London One-Day Cup",2016,947497,"The Rose Bowl, Southampton","Southampton","Somerset","Hampshire","Somerset","bat",NA,"Somerset",NA,"5"
"M de Lange",2017-04-27,"Gloucestershire","Glamorgan",2,"9.0",1,42,2,4.66666666666667,32,"Royal London One-Day Cup",2017,1068433,"County Ground, Bristol","Bristol","Glamorgan","Gloucestershire","Gloucestershire","field",NA,"Glamorgan",NA,"18"
"ME Claydon",2016-07-26,"Hampshire","Kent",1,"8.5",0,42,2,4.75471698113208,29,"Royal London One-Day Cup",2016,947447,"The Rose Bowl, Southampton","Southampton","Hampshire","Kent","Kent","field",NA,"Kent","5",NA
"MG Hogan",2017-05-07,"Essex","Glamorgan",2,"10.0",1,42,2,4.2,37,"Royal London One-Day Cup",2017,1068468,"Sophia Gardens, Cardiff","Cardiff","Glamorgan","Essex","Glamorgan","bat",NA,"Glamorgan",NA,"1"
