"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"CN Onwuzulike",2018-04-14,"Nigeria","Sierra Leone",1,54,34,3,4,158.823529411765,FALSE,"ICC World Twenty20 Africa Region Qualifier A","2018",1143115,"Tafawa Balewa Square Cricket Oval","Lagos","Nigeria","Sierra Leone","Sierra Leone","field",NA,"Nigeria",NA,"88"
"SO Tikolo",2013-11-21,"Kenya","Bermuda",2,54,36,6,1,150,TRUE,"ICC World Twenty20 Qualifier","2013/14",660169,"ICC Academy Ground No 2","Dubai","Bermuda","Kenya","Kenya","field","SO Tikolo","Kenya","7",NA
"Shafiq Sharif",2018-10-04,"Malaysia","Thailand",1,54,38,9,0,142.105263157895,FALSE,"ICC World Twenty20 Asia Region Qualifier B","2018/19",1160949,"UKM-YSD Cricket Oval","Bangi","Malaysia","Thailand","Thailand","field",NA,NA,NA,NA
"Shaiman Anwar",2013-11-15,"United Arab Emirates","Uganda",2,54,38,5,3,142.105263157895,FALSE,"ICC World Twenty20 Qualifier","2013/14",660095,"Sheikh Zayed Stadium Nursery 1","Abu Dhabi","Uganda","United Arab Emirates","United Arab Emirates","field","Shaiman Anwar","United Arab Emirates","8",NA
"Karweng NG",2018-12-07,"Philippines","Indonesia",1,54,40,2,4,135,FALSE,"ICC World Twenty20 East Asia-Pacific Region Qualifier B","2018/19",1166891,"Friendship Oval","Dasmarinas","Philippines","Indonesia","Indonesia","field","Karweng NG","Philippines",NA,"28"
"RR Patel",2016-09-29,"Kenya","Qatar",1,54,40,5,2,135,FALSE,"Kenya T20 Quadrangular Series","2016",1059539,"Gymkhana Club Ground","Nairobi","Kenya","Qatar","Qatar","field",NA,"Qatar","2",NA
"Afzal Saleem",2016-09-28,"Saudi Arabia","Qatar",1,54,41,5,1,131.707317073171,TRUE,"Kenya T20 Quadrangular Series","2016",1058157,"Jaffery Sports Club Ground","Nairobi","Qatar","Saudi Arabia","Qatar","field",NA,"Saudi Arabia",NA,"36"
"WU Tharanga",2014-09-30,"Sri Lanka","South Korea",1,54,41,8,0,131.707317073171,FALSE,"Asian Games Men's Cricket Competition","2014/15",778031,"Yeonhui Cricket Ground","Incheon","South Korea","Sri Lanka","South Korea","field",NA,"Sri Lanka",NA,"117"
"B Ward",2018-08-30,"Jersey","Spain",2,54,46,6,0,117.391304347826,TRUE,"ICC World Twenty20 Europe Region Qualifier B","2018",1156655,"VRA Ground","Amstelveen","Spain","Jersey","Spain","bat","B Ward","Jersey","10",NA
"SP Khakurel",2013-11-16,"Nepal","Kenya",2,54,48,6,0,112.5,FALSE,"ICC World Twenty20 Qualifier","2013/14",660121,"ICC Academy Oval 2","Dubai","Kenya","Nepal","Nepal","field","RR Patel","Nepal","6",NA
"A Yon",2018-10-29,"St Helena","Malawi",1,54,53,6,0,101.88679245283,FALSE,"ICC World Twenty20 Africa Region Qualifier C","2018/19",1163052,"Botswana Cricket Association Oval 1","Gaborone","St Helena","Malawi","St Helena","bat","S Crowie","St Helena",NA,"6"
"CO Obuya",2013-11-15,"Kenya","Papua New Guinea",1,53,40,6,1,132.5,TRUE,"ICC World Twenty20 Qualifier","2013/14",660105,"Sheikh Zayed Stadium Nursery 2","Abu Dhabi","Kenya","Papua New Guinea","Kenya","bat","GO Jones","Papua New Guinea","4",NA
"Muhammad Tanveer",2018-04-23,"Qatar","Maldives",1,53,41,3,3,129.268292682927,FALSE,"ICC World Twenty20 Asia Region Qualifier A","2018",1142214,"Tack-Tec Ground","Kuwait City","Qatar","Maldives","Qatar","bat","Muhammad Tanveer","Qatar",NA,"44"
"GC Wilson",2013-11-17,"Ireland","United Arab Emirates",1,53,44,3,0,120.454545454545,TRUE,"ICC World Twenty20 Qualifier","2013/14",660127,"Abu Dhabi Oval 2","Abu Dhabi","Ireland","United Arab Emirates","Ireland","bat","KJ O'Brien","Ireland",NA,"5"
"Shaiman Anwar",2017-01-15,"United Arab Emirates","Namibia",2,53,53,1,2,100,FALSE,"Desert T20 Challenge","2016/17",1074960,"Sheikh Zayed Stadium","Abu Dhabi","United Arab Emirates","Namibia","Namibia","bat","Mohammad Naveed","United Arab Emirates","6",NA
"DL Hemp",2013-11-26,"Bermuda","Uganda",2,53,55,7,0,96.3636363636364,FALSE,"ICC World Twenty20 Qualifier","2013/14",660205,"ICC Academy Ground No 2","Dubai","Bermuda","Uganda","Uganda","bat","HS Almuzahim","Uganda",NA,"11"
"Zhang Yu Fei",2016-11-03,"China","Japan",1,53,65,3,2,81.5384615384615,TRUE,"East Asia Cup","2016/17",1063553,"Sano International Cricket Ground",NA,"Japan","China","China","bat","Zhang Yu Fei","Japan","5",NA
