"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","match_referee","winner","winner_wickets","winner_runs","method","tv_umpire","outcome"
660153,6,"Ireland","United States of America","male","2013/14",2013-11-20,"ICC World Twenty20 Qualifier","31","Sheikh Zayed Stadium","Abu Dhabi","United States of America","field","WTS Porterfield","MA Gough","IN Ramage","GO Brathwaite","D Govindjee","Ireland",NA,75,NA,NA,NA
660155,6,"Afghanistan","Bermuda","male","2013/14",2013-11-20,"ICC World Twenty20 Qualifier","32","ICC Academy","Dubai","Afghanistan","field","Mohammad Shahzad","M Hawthorne","Sharfuddoula","JS Wilson","DT Jukes","Afghanistan",8,NA,NA,NA,NA
660157,6,"Hong Kong","Namibia","male","2013/14",2013-11-20,"ICC World Twenty20 Qualifier","33","Sheikh Zayed Stadium Nursery 2","Abu Dhabi","Namibia","bat","JJ Atkinson","C Shamshuddin","DJ Walker","Shozab Raza","D Govindjee","Hong Kong",8,NA,NA,NA,NA
660159,6,"Netherlands","Nepal","male","2013/14",2013-11-20,"ICC World Twenty20 Qualifier","34","Sharjah Cricket Stadium",NA,"Netherlands","field","Mudassar Bukhari","AT Holdstock","Sarika Prasad","Iftikhar Ali","GF Labrooy","Netherlands",5,NA,NA,NA,NA
660163,6,"Scotland","Papua New Guinea","male","2013/14",2013-11-21,"ICC World Twenty20 Qualifier","36","ICC Academy","Dubai","Papua New Guinea","field","RML Taylor","S Ravi","JS Wilson","M Hawthorne","DT Jukes","Scotland",NA,84,NA,NA,NA
660165,6,"Afghanistan","Denmark","male","2013/14",2013-11-21,"ICC World Twenty20 Qualifier","37","ICC Academy Ground No 2","Dubai","Afghanistan","field","Najibullah Zadran","BB Pradhan","JD Ward","AT Holdstock","GF Labrooy","Afghanistan",2,NA,NA,NA,NA
660169,6,"Bermuda","Kenya","male","2013/14",2013-11-21,"ICC World Twenty20 Qualifier","39","ICC Academy Ground No 2","Dubai","Kenya","field","SO Tikolo","AT Holdstock","Sharfuddoula","BB Pradhan","GF Labrooy","Kenya",7,NA,NA,NA,NA
660171,6,"United Arab Emirates","Canada","male","2013/14",2013-11-22,"ICC World Twenty20 Qualifier","40","Sheikh Zayed Stadium","Abu Dhabi","Canada","field","HS Baidwan","SJ Davis","Shozab Raza","MA Gough","D Govindjee","United Arab Emirates",NA,36,NA,NA,NA
660177,6,"Ireland","Uganda","male","2013/14",2013-11-22,"ICC World Twenty20 Qualifier","43","Zayed Cricket Stadium","Abu Dhabi","Ireland","bat","GC Wilson","REJ Martinesz","DJ Walker","SJ Davis","D Govindjee","Ireland",NA,48,NA,NA,NA
660179,6,"Hong Kong","United States of America","male","2013/14",2013-11-22,"ICC World Twenty20 Qualifier","44","Abu Dhabi Oval 2","Abu Dhabi","United States of America","field","Munir Dar","IN Ramage","C Shamshuddin","GO Brathwaite","D Govindjee","Hong Kong",NA,67,NA,NA,NA
660181,6,"Afghanistan","Nepal","male","2013/14",2013-11-22,"ICC World Twenty20 Qualifier","45","Sharjah Cricket Stadium",NA,"Afghanistan","field","Mohammad Shahzad","JD Ward","JS Wilson","Sharfuddoula","DT Jukes","Afghanistan",9,NA,NA,NA,NA
