"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"S Rana",2022-05-26,"Trailblazers","Velocity",1,"4.0",0,37,1,9.25,8,"Women's T20 Challenge","2022",1314905,"Maharashtra Cricket Association Stadium, Pune","Pune","Trailblazers","Velocity","Velocity","field","JI Rodrigues","Trailblazers",NA,"16"
"Salma Khatun",2020-11-05,"Velocity","Trailblazers",1,"2.0",0,4,0,2,9,"Women's T20 Challenge","2020/21",1235587,"Sharjah Cricket Stadium","Sharjah","Velocity","Trailblazers","Velocity","bat","S Ecclestone","Trailblazers","9",NA
"H Kaur",2018-05-22,"Trailblazers","Supernovas",1,"1.0",0,6,0,6,1,"Women's T20 Challenge Match","2018",1146789,"Wankhede Stadium, Mumbai","Mumbai","Trailblazers","Supernovas","Supernovas","field","SW Bates","Supernovas","3",NA
"DJS Dottin",2022-05-23,"Trailblazers","Supernovas",2,"2.0",0,7,0,3.5,8,"Women's T20 Challenge","2022",1314903,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Trailblazers","Supernovas","bat","P Vastrakar","Supernovas",NA,"49"
"SC Selman",2020-11-09,"Trailblazers","Supernovas",1,"1.0",0,7,0,7,3,"Women's T20 Challenge","2020/21",1235589,"Sharjah Cricket Stadium","Sharjah","Trailblazers","Supernovas","Supernovas","field","S Mandhana","Trailblazers",NA,"16"
"HK Matthews",2019-05-09,"Supernovas","Velocity",1,"1.0",0,8,0,8,2,"Women's T20 Challenge","2019",1181895,"Sawai Mansingh Stadium, Jaipur","Jaipur","Supernovas","Velocity","Velocity","field","JI Rodrigues","Supernovas",NA,"12"
"H Deol",2020-11-09,"Supernovas","Trailblazers",2,"1.0",0,9,0,9,0,"Women's T20 Challenge","2020/21",1235589,"Sharjah Cricket Stadium","Sharjah","Trailblazers","Supernovas","Supernovas","field","S Mandhana","Trailblazers",NA,"16"
"P Vastrakar",2018-05-22,"Trailblazers","Supernovas",1,"2.0",0,9,0,4.5,7,"Women's T20 Challenge Match","2018",1146789,"Wankhede Stadium, Mumbai","Mumbai","Trailblazers","Supernovas","Supernovas","field","SW Bates","Supernovas","3",NA
"SD Pradhan",2020-11-05,"Trailblazers","Velocity",2,"1.0",0,9,0,9,2,"Women's T20 Challenge","2020/21",1235587,"Sharjah Cricket Stadium","Sharjah","Velocity","Trailblazers","Velocity","bat","S Ecclestone","Trailblazers","9",NA
"SR Taylor",2019-05-06,"Supernovas","Trailblazers",2,"1.0",0,9,0,9,1,"Women's T20 Challenge","2019",1181893,"Sawai Mansingh Stadium, Jaipur","Jaipur","Trailblazers","Supernovas","Supernovas","field","S Mandhana","Trailblazers",NA,"2"
"D Hazell",2018-05-22,"Supernovas","Trailblazers",2,"1.0",0,10,0,10,2,"Women's T20 Challenge Match","2018",1146789,"Wankhede Stadium, Mumbai","Mumbai","Trailblazers","Supernovas","Supernovas","field","SW Bates","Supernovas","3",NA
"DB Sharma",2018-05-22,"Supernovas","Trailblazers",2,"1.0",0,10,0,10,1,"Women's T20 Challenge Match","2018",1146789,"Wankhede Stadium, Mumbai","Mumbai","Trailblazers","Supernovas","Supernovas","field","SW Bates","Supernovas","3",NA
"H Deol",2019-05-06,"Supernovas","Trailblazers",2,"1.0",0,10,0,10,2,"Women's T20 Challenge","2019",1181893,"Sawai Mansingh Stadium, Jaipur","Jaipur","Trailblazers","Supernovas","Supernovas","field","S Mandhana","Trailblazers",NA,"2"
"LMM Tahuhu",2019-05-06,"Trailblazers","Supernovas",1,"1.0",0,10,0,10,3,"Women's T20 Challenge","2019",1181893,"Sawai Mansingh Stadium, Jaipur","Jaipur","Trailblazers","Supernovas","Supernovas","field","S Mandhana","Trailblazers",NA,"2"
"P Vastrakar",2020-11-09,"Trailblazers","Supernovas",1,"1.0",0,10,0,10,3,"Women's T20 Challenge","2020/21",1235589,"Sharjah Cricket Stadium","Sharjah","Trailblazers","Supernovas","Supernovas","field","S Mandhana","Trailblazers",NA,"16"
