"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"M Raj",2019-05-11,"Velocity","Supernovas",1,12,22,2,0,54.5454545454545,FALSE,"Women's T20 Challenge","2019",1181896,"Sawai Mansingh Stadium, Jaipur","Jaipur","Velocity","Supernovas","Supernovas","field","H Kaur","Supernovas","4",NA
"Shafali Verma",2019-05-11,"Velocity","Supernovas",1,11,6,2,0,183.333333333333,FALSE,"Women's T20 Challenge","2019",1181896,"Sawai Mansingh Stadium, Jaipur","Jaipur","Velocity","Supernovas","Supernovas","field","H Kaur","Supernovas","4",NA
"HK Matthews",2019-05-09,"Velocity","Supernovas",2,11,12,2,0,91.6666666666667,FALSE,"Women's T20 Challenge","2019",1181895,"Sawai Mansingh Stadium, Jaipur","Jaipur","Supernovas","Velocity","Velocity","field","JI Rodrigues","Supernovas",NA,"12"
"S Rana",2022-05-26,"Velocity","Trailblazers",2,11,14,2,0,78.5714285714286,FALSE,"Women's T20 Challenge","2022",1314905,"Maharashtra Cricket Association Stadium, Pune","Pune","Trailblazers","Velocity","Velocity","field","JI Rodrigues","Trailblazers",NA,"16"
"PS Punia",2020-11-04,"Supernovas","Velocity",1,11,15,2,0,73.3333333333333,FALSE,"Women's T20 Challenge","2020/21",1235586,"Sharjah Cricket Stadium","Sharjah","Supernovas","Velocity","Velocity","field","S Luus","Velocity","5",NA
"LM Kasperek",2020-11-05,"Velocity","Trailblazers",1,11,20,1,0,55,TRUE,"Women's T20 Challenge","2020/21",1235587,"Sharjah Cricket Stadium","Sharjah","Velocity","Trailblazers","Velocity","bat","S Ecclestone","Trailblazers","9",NA
"RP Yadav",2019-05-11,"Supernovas","Velocity",2,10,4,1,0,250,TRUE,"Women's T20 Challenge","2019",1181896,"Sawai Mansingh Stadium, Jaipur","Jaipur","Velocity","Supernovas","Supernovas","field","H Kaur","Supernovas","4",NA
"S Mandhana",2019-05-08,"Trailblazers","Velocity",1,10,10,2,0,100,FALSE,"Women's T20 Challenge","2019",1181894,"Sawai Mansingh Stadium, Jaipur","Jaipur","Trailblazers","Velocity","Velocity","field","DN Wyatt","Velocity","3",NA
"S Luus",2022-05-23,"Supernovas","Trailblazers",1,10,11,1,0,90.9090909090909,FALSE,"Women's T20 Challenge","2022",1314903,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Trailblazers","Supernovas","bat","P Vastrakar","Supernovas",NA,"49"
"RM Ghosh",2020-11-09,"Trailblazers","Supernovas",1,10,16,1,0,62.5,FALSE,"Women's T20 Challenge","2020/21",1235589,"Sharjah Cricket Stadium","Sharjah","Trailblazers","Supernovas","Supernovas","field","S Mandhana","Trailblazers",NA,"16"
