"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_wickets","method","winner_runs","outcome","eliminator"
1247044,6,"Multan Sultans","Peshawar Zalmi","male","2021",2021-06-24,"Pakistan Super League",NA,"Sheikh Zayed Stadium, Abu Dhabi","Abu Dhabi","Peshawar Zalmi","field","Sohaib Maqsood","Ahsan Raza","Aleem Dar","Rashid Riaz","Asif Yaqoob","Mohammad Anees","Multan Sultans",NA,NA,47,NA,NA
1293000,6,"Karachi Kings","Multan Sultans","male","2021/22",2022-01-27,"Pakistan Super League","1","National Stadium, Karachi","Karachi","Multan Sultans","field","Imran Tahir","Aleem Dar","RK Illingworth","Imran Javed",NA,"Muhammad Javed","Multan Sultans",7,NA,NA,NA,NA
1293001,6,"Quetta Gladiators","Peshawar Zalmi","male","2021/22",2022-01-28,"Pakistan Super League","2","National Stadium, Karachi","Karachi","Peshawar Zalmi","field","WCF Smeed","Ahsan Raza","MA Gough","Imtiaz Iqbal","Shozab Raza","Muhammad Javed","Peshawar Zalmi",5,NA,NA,NA,NA
1293002,6,"Lahore Qalandars","Multan Sultans","male","2021/22",2022-01-29,"Pakistan Super League","3","National Stadium, Karachi","Karachi","Multan Sultans","field","Shan Masood","Ahsan Raza","RK Illingworth","Imtiaz Iqbal","Faisal Afridi","Muhammad Javed","Multan Sultans",5,NA,NA,NA,NA
1293003,6,"Karachi Kings","Quetta Gladiators","male","2021/22",2022-01-29,"Pakistan Super League","4","National Stadium, Karachi","Karachi","Quetta Gladiators","field","Naseem Shah","MA Gough","Shozab Raza","Imran Javed","Aleem Dar","RS Madugalle","Quetta Gladiators",8,NA,NA,NA,NA
1293004,6,"Peshawar Zalmi","Islamabad United","male","2021/22",2022-01-30,"Pakistan Super League","5","National Stadium, Karachi","Karachi","Islamabad United","field","PR Stirling","Ahsan Raza","Aleem Dar","Imtiaz Iqbal","Shozab Raza","Muhammad Javed","Islamabad United",9,NA,NA,NA,NA
1293005,6,"Karachi Kings","Lahore Qalandars","male","2021/22",2022-01-30,"Pakistan Super League","6","National Stadium, Karachi","Karachi","Lahore Qalandars","field","Fakhar Zaman","MA Gough","RK Illingworth","Imran Javed","Ahsan Raza","RS Madugalle","Lahore Qalandars",6,NA,NA,NA,NA
1293006,6,"Multan Sultans","Quetta Gladiators","male","2021/22",2022-01-31,"Pakistan Super League","7","National Stadium, Karachi","Karachi","Quetta Gladiators","field","Shan Masood","Ahsan Raza","Aleem Dar","Imtiaz Iqbal","Shozab Raza","Muhammad Javed","Multan Sultans",NA,NA,6,NA,NA
1293007,6,"Multan Sultans","Islamabad United","male","2021/22",2022-02-01,"Pakistan Super League","8","National Stadium, Karachi","Karachi","Islamabad United","field","TH David","MA Gough","Shozab Raza","Imran Javed","Ahsan Raza","Iftikhar Ahmed (2)","Multan Sultans",NA,NA,20,NA,NA
1293008,6,"Lahore Qalandars","Peshawar Zalmi","male","2021/22",2022-02-02,"Pakistan Super League","9","National Stadium, Karachi","Karachi","Peshawar Zalmi","field","Zaman Khan","Aleem Dar","Shozab Raza","Imtiaz Iqbal","Ahsan Raza","Ali Naqvi","Lahore Qalandars",NA,NA,29,NA,NA
1293009,6,"Islamabad United","Quetta Gladiators","male","2021/22",2022-02-03,"Pakistan Super League","10","National Stadium, Karachi","Karachi","Quetta Gladiators","field","C Munro","Imtiaz Iqbal","RK Illingworth","Imran Javed","Shozab Raza","RS Madugalle","Islamabad United",NA,NA,43,NA,NA
1293010,6,"Peshawar Zalmi","Karachi Kings","male","2021/22",2022-02-04,"Pakistan Super League","11","National Stadium, Karachi","Karachi","Karachi Kings","field","Shoaib Malik","Aleem Dar","Shozab Raza","Imtiaz Iqbal","Ahsan Raza","Iftikhar Ahmed","Peshawar Zalmi",NA,NA,9,NA,NA
1293011,6,"Lahore Qalandars","Islamabad United","male","2021/22",2022-02-05,"Pakistan Super League","12","National Stadium, Karachi","Karachi","Islamabad United","field","Zaman Khan","MA Gough","Waleed Yaqub","Imtiaz Iqbal","Ahsan Raza","Iftikhar Ahmed (2)","Lahore Qalandars",NA,NA,8,NA,NA
1293012,6,"Multan Sultans","Peshawar Zalmi","male","2021/22",2022-02-05,"Pakistan Super League","13","National Stadium, Karachi","Karachi","Peshawar Zalmi","field","Mohammad Rizwan","RK Illingworth","Shozab Raza","Imran Javed","Aleem Dar","Ali Naqvi","Multan Sultans",NA,NA,57,NA,NA
1293013,6,"Islamabad United","Karachi Kings","male","2021/22",2022-02-06,"Pakistan Super League","14","National Stadium, Karachi","Karachi","Islamabad United","bat","Shadab Khan","Ahsan Raza","RK Illingworth","Imtiaz Iqbal","Aleem Dar","RS Madugalle","Islamabad United",NA,NA,42,NA,NA
1293014,6,"Lahore Qalandars","Quetta Gladiators","male","2021/22",2022-02-07,"Pakistan Super League","15","National Stadium, Karachi","Karachi","Quetta Gladiators","field","JJ Roy","MA Gough","Shozab Raza","Imran Javed","Aleem Dar","Iftikhar Ahmed (2)","Quetta Gladiators",7,NA,NA,NA,NA
1293015,6,"Multan Sultans","Peshawar Zalmi","male","2021/22",2022-02-10,"Pakistan Super League","16","Gaddafi Stadium, Lahore","Lahore","Peshawar Zalmi","field","Shan Masood","Ahsan Raza","RK Illingworth","Waleed Yaqub","Shozab Raza","Ali Naqvi","Multan Sultans",NA,NA,42,NA,NA
1293016,6,"Lahore Qalandars","Multan Sultans","male","2021/22",2022-02-11,"Pakistan Super League","17","Gaddafi Stadium, Lahore","Lahore","Multan Sultans","field","Fakhar Zaman","Aleem Dar","MA Gough","Nasir Hussain","Faisal Afridi","RS Mahanama","Lahore Qalandars",NA,NA,52,NA,NA
1293017,6,"Islamabad United","Quetta Gladiators","male","2021/22",2022-02-12,"Pakistan Super League","18","Gaddafi Stadium, Lahore","Lahore","Quetta Gladiators","field","Sarfraz Ahmed","Faisal Afridi","RK Illingworth","Waleed Yaqub","Aleem Dar","RS Madugalle","Quetta Gladiators",5,NA,NA,NA,NA
