"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_wickets","winner_runs","outcome","method","eliminator"
1144530,6,"England","New Zealand","male","2019",2019-07-14,"World Cup",NA,"Lord's","London","New Zealand","bat","BA Stokes","HDPK Dharmasena","M Erasmus","Aleem Dar","RJ Tucker","RS Madugalle",NA,NA,NA,"tie",NA,"England"
1193504,6,"Sri Lanka","Bangladesh","male","2019",2019-07-26,"Bangladesh tour of Sri Lanka","1","R.Premadasa Stadium, Khettarama","Colombo","Sri Lanka","bat","MDKJ Perera","RR Wimalasiri","Nitin Menon","LE Hannibal","M Erasmus","BC Broad","Sri Lanka",NA,91,NA,NA,NA
1193505,6,"Sri Lanka","Bangladesh","male","2019",2019-07-28,"Bangladesh tour of Sri Lanka","2","R.Premadasa Stadium, Khettarama","Colombo","Bangladesh","bat","WIA Fernando","LE Hannibal","M Erasmus","RR Wimalasiri","Nitin Menon","BC Broad","Sri Lanka",7,NA,NA,NA,NA
1193506,6,"Sri Lanka","Bangladesh","male","2019",2019-07-31,"Bangladesh tour of Sri Lanka","3","R.Premadasa Stadium, Khettarama","Colombo","Sri Lanka","bat","AD Mathews","RR Wimalasiri","Nitin Menon","LE Hannibal","M Erasmus","BC Broad","Sri Lanka",NA,122,NA,NA,NA
1188624,6,"West Indies","India","male","2019",2019-08-08,"India tour of United States of America and West Indies","1","Providence Stadium, Guyana","Providence","India","field",NA,"N Duguid","AT Holdstock","GO Brathwaite","NJ Llong","JJ Crowe",NA,NA,NA,"no result",NA,NA
1188625,6,"West Indies","India","male","2019",2019-08-11,"India tour of United States of America and West Indies","2","Queen's Park Oval, Trinidad","Port of Spain","India","bat","V Kohli","NJ Llong","GO Brathwaite","LS Reifer","AT Holdstock","JJ Crowe","India",NA,59,NA,"D/L",NA
1188626,6,"West Indies","India","male","2019",2019-08-14,"India tour of United States of America and West Indies","3","Queen's Park Oval, Trinidad","Port of Spain","West Indies","bat","V Kohli","LS Reifer","AT Holdstock","GO Brathwaite","NJ Llong","JJ Crowe","India",6,NA,NA,"D/L",NA
1196670,6,"Oman","Papua New Guinea","male","2019",2019-08-14,"ICC Men's Cricket World Cup League 2","1","Mannofield Park","Aberdeen","Oman","field","Sandeep Goud","AJT Dowdalls","DH Mclean","R Black",NA,"DT Jukes","Oman",4,NA,NA,NA,NA
1196671,6,"Scotland","Oman","male","2019",2019-08-15,"ICC Men's Cricket World Cup League 2","2","Mannofield Park","Aberdeen","Scotland","bat","Khawar Ali","DH Mclean","R Black","AJT Dowdalls",NA,"DT Jukes","Oman",8,NA,NA,NA,NA
1196672,6,"Scotland","Papua New Guinea","male","2019",2019-08-17,"ICC Men's Cricket World Cup League 2","3","Mannofield Park","Aberdeen","Scotland","field",NA,"DA Haggo","R Black","DH Mclean",NA,"DT Jukes","Scotland",3,NA,NA,NA,NA
1196673,6,"Scotland","Oman","male","2019",2019-08-18,"ICC Men's Cricket World Cup League 2","4","Mannofield Park","Aberdeen","Oman","field","Hamza Tahir","DA Haggo","R Black","AJT Dowdalls",NA,"DT Jukes","Scotland",NA,85,NA,NA,NA
1196674,6,"Scotland","Papua New Guinea","male","2019",2019-08-20,"ICC Men's Cricket World Cup League 2","5","Mannofield Park","Aberdeen","Papua New Guinea","field","RD Berrington","R Black","AJT Dowdalls","DH Mclean",NA,"DT Jukes","Scotland",NA,38,NA,NA,NA
1196675,6,"Oman","Papua New Guinea","male","2019",2019-08-21,"ICC Men's Cricket World Cup League 2","6","Mannofield Park","Aberdeen","Oman","field","Aqib Ilyas","AJT Dowdalls","DH Mclean","R Black",NA,"DT Jukes","Oman",4,NA,NA,NA,NA
1199225,6,"United States of America","Papua New Guinea","male","2019",2019-09-13,"ICC Men's Cricket World Cup League 2","1","Central Broward Regional Park Stadium Turf Ground","Lauderhill","United States of America","bat","Aaron Jones","JM Williams","SN Bandekar","Jermaine Lindo",NA,"DT Jukes","United States of America",NA,5,NA,"D/L",NA
1199226,6,"United States of America","Namibia","male","2019",2019-09-17,"ICC Men's Cricket World Cup League 2","2","Central Broward Regional Park Stadium Turf Ground","Lauderhill","Namibia","bat","Steven Ryan Taylor","Jermaine Lindo","JM Williams","Vijaya Mallela",NA,"DT Jukes","United States of America",5,NA,NA,NA,NA
1199227,6,"United States of America","Papua New Guinea","male","2019",2019-09-19,"ICC Men's Cricket World Cup League 2","3","Central Broward Regional Park Stadium Turf Ground","Lauderhill","United States of America","bat","K Gore","JM Williams","Vijaya Mallela","SN Bandekar",NA,"DT Jukes","United States of America",NA,62,NA,NA,NA
1199229,6,"Namibia","Papua New Guinea","male","2019",2019-09-22,"ICC Men's Cricket World Cup League 2","5","Central Broward Regional Park Stadium Turf Ground","Lauderhill","Papua New Guinea","bat","MG Erasmus","Jermaine Lindo","SN Bandekar","JM Williams",NA,"DT Jukes","Namibia",4,NA,NA,NA,NA
1199230,6,"Namibia","Papua New Guinea","male","2019",2019-09-23,"ICC Men's Cricket World Cup League 2","6","Central Broward Regional Park Stadium Turf Ground","Lauderhill","Namibia","bat","A Vala","JM Williams","Vijaya Mallela","SN Bandekar",NA,"DT Jukes","Namibia",NA,27,NA,NA,NA
1198487,6,"Pakistan","Sri Lanka","male","2019/20",2019-09-30,"Sri Lanka tour of Pakistan","2","National Stadium","Karachi","Pakistan","bat","Usman Shinwari","Shozab Raza","MA Gough","Ahsan Raza","JS Wilson","DC Boon","Pakistan",NA,67,NA,NA,NA
1198488,6,"Pakistan","Sri Lanka","male","2019/20",2019-10-02,"Sri Lanka tour of Pakistan","3","National Stadium","Karachi","Sri Lanka","bat","Abid Ali","JS Wilson","Aleem Dar","Asif Yaqoob","MA Gough","DC Boon","Pakistan",5,NA,NA,NA,NA
1193497,6,"Afghanistan","West Indies","male","2019/20",2019-11-06,"Afghanistan tour of India","1","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium","Lucknow","West Indies","field","RL Chase","Bismillah Shinwari","PR Reiffel","Ahmed Shah Durrani","Izatullah Safi","BC Broad","West Indies",7,NA,NA,NA,NA
1193498,6,"Afghanistan","West Indies","male","2019/20",2019-11-09,"Afghanistan tour of India","2","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium","Lucknow","Afghanistan","field","N Pooran","Ahmed Shah Pakteen","Izatullah Safi","Ahmed Shah Durrani","Bismillah Shinwari","BC Broad","West Indies",NA,47,NA,NA,NA
1193499,6,"Afghanistan","West Indies","male","2019/20",2019-11-11,"Afghanistan tour of India","3","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium","Lucknow","West Indies","field","SD Hope","Bismillah Shinwari","Ahmed Shah Durrani","Izatullah Safi","Ahmed Shah Pakteen","BC Broad","West Indies",5,NA,NA,NA,NA
1206059,6,"United Arab Emirates","United States of America","male","2019/20",2019-12-08,"ICC Men's Cricket World Cup League 2","1","Sharjah Cricket Stadium","Sharjah","United Arab Emirates","bat","Aaron Jones","Ahsan Raza","Shiju Sam","Iftikhar Ali",NA,"GS Lakshmi","United States of America",3,NA,NA,NA,NA
1206060,6,"Scotland","United States of America","male","2019/20",2019-12-09,"ICC Men's Cricket World Cup League 2","2","Sharjah Cricket Stadium","Sharjah","United States of America","bat","MD Patel","Iftikhar Ali","Shiju Sam","Ahsan Raza",NA,"GS Lakshmi","United States of America",NA,35,NA,NA,NA
1206062,6,"United Arab Emirates","United States of America","male","2019/20",2019-12-12,"ICC Men's Cricket World Cup League 2","4","ICC Academy","Dubai","United Arab Emirates","field","SN Netravalkar","Iftikhar Ali","Ahsan Raza","Shiju Sam",NA,"GS Lakshmi","United States of America",NA,98,NA,NA,NA
1206063,6,"Scotland","United States of America","male","2019/20",2019-12-14,"ICC Men's Cricket World Cup League 2","5","ICC Academy","Dubai","Scotland","field","JH Davey","Iftikhar Ali","Shiju Sam","Ahsan Raza",NA,"GS Lakshmi","Scotland",4,NA,NA,NA,NA
1187021,6,"India","West Indies","male","2019/20",2019-12-15,"West Indies tour of India","1","MA Chidambaram Stadium, Chepauk","Chennai","West Indies","field","SO Hetmyer","Nitin Menon","S George","AK Chaudhary","RJ Tucker","DC Boon","West Indies",8,NA,NA,NA,NA
1206064,6,"United Arab Emirates","Scotland","male","2019/20",2019-12-15,"ICC Men's Cricket World Cup League 2","6","ICC Academy","Dubai","United Arab Emirates","field","Basil Hameed","Iftikhar Ali","Ahsan Raza","Shiju Sam",NA,"GS Lakshmi","United Arab Emirates",7,NA,NA,NA,NA
1187022,6,"India","West Indies","male","2019/20",2019-12-18,"West Indies tour of India","2","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Visakhapatnam","West Indies","field","RG Sharma","RJ Tucker","AK Chaudhary","Nitin Menon","S George","DC Boon","India",NA,107,NA,NA,NA
1187023,6,"India","West Indies","male","2019/20",2019-12-22,"West Indies tour of India","3","Barabati Stadium","Cuttack","India","field","V Kohli","Nitin Menon","S George","AK Chaudhary","RJ Tucker","DC Boon","India",4,NA,NA,NA,NA
1211169,6,"Oman","United Arab Emirates","male","2019/20",2020-01-05,"ICC Men's Cricket World Cup League 2","1","Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)","Al Amarat","Oman","field","Aqib Ilyas","Rahul Asher","LE Hannibal","Vinod Babu",NA,"Muhammad Javed","Oman",5,NA,NA,NA,NA
1211170,6,"Namibia","United Arab Emirates","male","2019/20",2020-01-06,"ICC Men's Cricket World Cup League 2","2","Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)","Al Amarat","Namibia","field","Rohan Mustafa","Rahul Asher","Vinod Babu","LE Hannibal",NA,"Muhammad Javed","United Arab Emirates",NA,8,NA,NA,NA
1203673,6,"West Indies","Ireland","male","2019/20",2020-01-07,"Ireland tour of West Indies","1","Kensington Oval, Barbados","Bridgetown","Ireland","bat","AS Joseph","JS Wilson","RSA Palliyaguruge","GO Brathwaite","RK Illingworth","JJ Crowe","West Indies",5,NA,NA,NA,NA
1211171,6,"Oman","Namibia","male","2019/20",2020-01-08,"ICC Men's Cricket World Cup League 2","3","Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)","Al Amarat","Namibia","bat","CG Williams","Harikrishna Pillai","LE Hannibal","Rahul Asher",NA,"Muhammad Javed","Namibia",NA,52,NA,NA,NA
1203674,6,"West Indies","Ireland","male","2019/20",2020-01-09,"Ireland tour of West Indies","2","Kensington Oval, Barbados","Bridgetown","Ireland","bat","AS Joseph","JS Wilson","RK Illingworth","GO Brathwaite","RSA Palliyaguruge","JJ Crowe","West Indies",1,NA,NA,NA,NA
1211173,6,"Namibia","United Arab Emirates","male","2019/20",2020-01-09,"ICC Men's Cricket World Cup League 2","4","Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)","Al Amarat","Namibia","bat","Ahmed Raza","Harikrishna Pillai","Rahul Asher","LE Hannibal",NA,"Muhammad Javed","United Arab Emirates",8,NA,NA,NA,NA
1203675,6,"West Indies","Ireland","male","2019/20",2020-01-12,"Ireland tour of West Indies","3","National Cricket Stadium, Grenada","St George's","West Indies","field","E Lewis","GO Brathwaite","RSA Palliyaguruge","PA Gustard","RK Illingworth","JJ Crowe","West Indies",5,NA,NA,"D/L",NA
1187027,6,"India","Australia","male","2019/20",2020-01-14,"Australia tour of India","1","Wankhede Stadium","Mumbai","Australia","field","DA Warner","C Shamshuddin","MA Gough","VK Sharma","RA Kettleborough","RS Madugalle","Australia",10,NA,NA,NA,NA
