"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_wickets","winner_runs","method","outcome","eliminator"
594901,6,"India","Sri Lanka","female","2012/13",2013-02-05,"ICC Women's World Cup","12","Brabourne Stadium","Mumbai","Sri Lanka","bat","HMD Rasangika","GO Brathwaite","M Hawthorne","R Pandit","S George","DT Jukes","Sri Lanka",NA,138,NA,NA,NA
594904,6,"Australia","England","female","2012/13",2013-02-08,"ICC Women's World Cup","13","Brabourne Stadium","Mumbai","England","field","LC Sthalekar","RSA Palliyaguruge","Sarika Prasad","K Cross","VA Kulkarni","DT Jukes","Australia",NA,2,NA,NA,NA
594907,6,"Australia","Sri Lanka","female","2012/13",2013-02-10,"ICC Women's World Cup","16","Brabourne Stadium","Mumbai","Australia","field","EA Osborne","K Cross","VA Kulkarni","Sarika Prasad","S George","DT Jukes","Australia",9,NA,NA,NA,NA
594909,6,"New Zealand","West Indies","female","2012/13",2013-02-11,"ICC Women's World Cup","18","Brabourne Stadium","Mumbai","New Zealand","field","A Mohammed","VA Kulkarni","Shahul Hameed","BB Pradhan","RSA Palliyaguruge","DT Jukes","West Indies",NA,48,NA,NA,NA
594912,6,"England","New Zealand","female","2012/13",2013-02-13,"ICC Women's World Cup","21","Brabourne Stadium","Mumbai","England","bat","SJ Taylor","VA Kulkarni","BB Pradhan","Shahul Hameed","Sarika Prasad","DT Jukes","England",NA,15,NA,NA,NA
594914,6,"England","New Zealand","female","2012/13",2013-02-15,"ICC Women's World Cup",NA,"Brabourne Stadium","Mumbai","England","field","CM Edwards","S George","VA Kulkarni","BB Pradhan","RSA Palliyaguruge","DT Jukes","England",4,NA,NA,NA,NA
594915,6,"Australia","West Indies","female","2012/13",2013-02-17,"ICC Women's World Cup",NA,"Brabourne Stadium","Mumbai","Australia","bat","JE Cameron","S George","VA Kulkarni","Sarika Prasad","RSA Palliyaguruge","DT Jukes","Australia",NA,114,NA,NA,NA
603239,6,"Sri Lanka","West Indies","female","2012/13",2013-02-22,"West Indies Women in Sri Lanka ODI Series","1","Rangiri Dambulla International Stadium",NA,"Sri Lanka","bat",NA,"LE Hannibal","RA Kottahachchi","MSK Nandiweera",NA,"WC Labrooy","West Indies",4,NA,NA,NA,NA
603240,6,"Sri Lanka","West Indies","female","2012/13",2013-02-24,"West Indies Women in Sri Lanka ODI Series","2","Rangiri Dambulla International Stadium",NA,"West Indies","bat",NA,"RA Kottahachchi","MSK Nandiweera","LE Hannibal",NA,"WC Labrooy","Sri Lanka",4,NA,NA,NA,NA
603241,6,"Sri Lanka","West Indies","female","2012/13",2013-02-26,"West Indies Women in Sri Lanka ODI Series","3","Rangiri Dambulla International Stadium",NA,"Sri Lanka","field",NA,"LE Hannibal","MSK Nandiweera","RA Kottahachchi",NA,"WC Labrooy","West Indies",NA,33,NA,NA,NA
627006,6,"England","Pakistan","female","2013",2013-07-01,"Pakistan Women in England ODI Series","1","Louth Cricket Club",NA,"England","bat","JL Gunn","MJD Bodenham","SA Garratt",NA,NA,"DT Jukes","England",NA,111,NA,NA,NA
627007,6,"England","Pakistan","female","2013",2013-07-03,"Pakistan Women in England ODI Series","2","Haslegrave Ground","Loughborough","Pakistan","bat","NR Sciver","RJ Bailey","SJ O'Shaughnessy",NA,NA,"DT Jukes","England",6,NA,NA,NA,NA
644943,6,"Ireland","Pakistan","female","2013",2013-07-17,"Pakistan Women in Ireland ODI Series","1","Observatory Lane, Rathmines","Dublin","Pakistan","bat",NA,"AA Baig","L Fourie","J McGeehan",NA,"DT Jukes","Pakistan",NA,157,NA,NA,NA
644945,6,"Ireland","Pakistan","female","2013",2013-07-19,"Pakistan Women in Ireland ODI Series","2","YMCA Cricket Club","Dublin","Pakistan","bat",NA,"AA Baig","L Fourie","J McGeehan",NA,"DT Jukes","Pakistan",NA,89,NA,NA,NA
593723,6,"England","Australia","female","2013",2013-08-20,"Women's Ashes","1","Lord's","London","Australia","bat","EA Osborne","JW Lloyds","SJ O'Shaughnessy",NA,NA,"DT Jukes","Australia",NA,27,NA,NA,NA
593724,6,"England","Australia","female","2013",2013-08-23,"Women's Ashes","2","County Ground","Hove","England","bat","A Shrubsole","MJD Bodenham","PJ Hartley",NA,NA,"DT Jukes","England",NA,51,NA,NA,NA
593725,6,"England","Australia","female","2013",2013-08-25,"Women's Ashes","3","County Ground","Hove","Australia","bat","SJ Taylor","I Dawood","IJ Gould",NA,"AG Wharf","DT Jukes","England",5,NA,NA,NA,NA
664299,6,"South Africa","Bangladesh","female","2013/14",2013-09-20,"Bangladesh Women in South Africa ODI Series","1","Willowmoore Park","Benoni","South Africa","field","L Lee","RN Birkenstock","A Paleker","BP Jele",NA,"D Govindjee","South Africa",6,NA,NA,NA,NA
