"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_runs","method","winner_wickets","outcome","eliminator"
1324525,6,"Galle Gladiators","Colombo Stars","male","2022/23",2022-12-11,"Lanka Premier League","7","Pallekele International Cricket Stadium","Kandy","Galle Gladiators","bat","LU Igalagamage","IC Soysa","RSA Palliyaguruge","RA Kottahachchi","RR Wimalasiri","WC Labrooy","Galle Gladiators",25,NA,NA,NA,NA
1324526,6,"Jaffna Kings","Dambulla Aura","male","2022/23",2022-12-11,"Lanka Premier League","8","Pallekele International Cricket Stadium","Kandy","Dambulla Aura","field","Rahmanullah Gurbaz","GO Brathwaite","RMPJ Rambukwella","REJ Martinesz","LE Hannibal","PS Jayaprakashdaran","Jaffna Kings",51,NA,NA,NA,NA
1324527,6,"Galle Gladiators","Kandy Falcons","male","2022/23",2022-12-12,"Lanka Premier League","9","Pallekele International Cricket Stadium","Kandy","Galle Gladiators","bat","PTM Dabare","RMPJ Rambukwella","RA Kottahachchi","IC Soysa","LE Hannibal","BCMS Mendis","Galle Gladiators",12,NA,NA,NA,NA
1324528,6,"Jaffna Kings","Colombo Stars","male","2022/23",2022-12-12,"Lanka Premier League","10","Pallekele International Cricket Stadium","Kandy","Colombo Stars","field","JK Fuller","GO Brathwaite","REJ Martinesz","RR Wimalasiri","RSA Palliyaguruge","WC Labrooy","Jaffna Kings",6,NA,NA,NA,NA
1324529,6,"Kandy Falcons","Dambulla Aura","male","2022/23",2022-12-13,"Lanka Premier League","11","Pallekele International Cricket Stadium","Kandy","Kandy Falcons","bat","PHKD Mendis","GO Brathwaite","RA Kottahachchi","IC Soysa","RR Wimalasiri","PS Jayaprakashdaran","Kandy Falcons",77,NA,NA,NA,NA
1324530,6,"Galle Gladiators","Colombo Stars","male","2022/23",2022-12-13,"Lanka Premier League","12","Pallekele International Cricket Stadium","Kandy","Colombo Stars","field","RS Bopara","RMPJ Rambukwella","RSA Palliyaguruge","REJ Martinesz","LE Hannibal","BCMS Mendis","Colombo Stars",NA,NA,2,NA,NA
1324531,6,"Kandy Falcons","Jaffna Kings","male","2022/23",2022-12-14,"Lanka Premier League","13","Pallekele International Cricket Stadium","Kandy","Kandy Falcons","bat","FA Allen","IC Soysa","GO Brathwaite","RA Kottahachchi","RMPJ Rambukwella","WC Labrooy","Kandy Falcons",10,NA,NA,NA,NA
1324532,6,"Dambulla Aura","Colombo Stars","male","2022/23",2022-12-14,"Lanka Premier League","14","Pallekele International Cricket Stadium","Kandy","Colombo Stars","field","CAK Rajitha","LE Hannibal","REJ Martinesz","RSA Palliyaguruge","RR Wimalasiri","PS Jayaprakashdaran","Colombo Stars",NA,NA,9,NA,NA
1324533,6,"Dambulla Aura","Galle Gladiators","male","2022/23",2022-12-17,"Lanka Premier League","15","R Premadasa Stadium, Colombo","Colombo","Dambulla Aura","bat","JM Cox","HDPK Dharmasena","RSA Palliyaguruge","IC Soysa","LE Hannibal","GF Labrooy","Dambulla Aura",48,NA,NA,NA,NA
1324534,6,"Colombo Stars","Kandy Falcons","male","2022/23",2022-12-17,"Lanka Premier League","16","R Premadasa Stadium, Colombo","Colombo","Colombo Stars","bat","C Karunaratne","RR Wimalasiri","WR Knights","RA Kottahachchi","RMPJ Rambukwella","PS Jayaprakashdaran","Kandy Falcons",NA,NA,9,NA,NA
1324535,6,"Jaffna Kings","Galle Gladiators","male","2022/23",2022-12-18,"Lanka Premier League","17","R Premadasa Stadium, Colombo","Colombo","Jaffna Kings","bat","Afif Hossain","HDPK Dharmasena","RA Kottahachchi","LE Hannibal","RMPJ Rambukwella","GF Labrooy","Jaffna Kings",16,NA,NA,NA,NA
1324536,6,"Kandy Falcons","Dambulla Aura","male","2022/23",2022-12-18,"Lanka Premier League","18","R Premadasa Stadium, Colombo","Colombo","Kandy Falcons","bat","O Thomas","IC Soysa","WR Knights","RSA Palliyaguruge","RR Wimalasiri","WC Labrooy","Kandy Falcons",39,NA,NA,NA,NA
1324537,6,"Colombo Stars","Jaffna Kings","male","2022/23",2022-12-19,"Lanka Premier League","19","R Premadasa Stadium, Colombo","Colombo","Jaffna Kings","field","Rahmanullah Gurbaz","LE Hannibal","WR Knights","IC Soysa","RSA Palliyaguruge","PS Jayaprakashdaran","Jaffna Kings",NA,NA,8,NA,NA
1324538,6,"Galle Gladiators","Dambulla Aura","male","2022/23",2022-12-19,"Lanka Premier League","20","R Premadasa Stadium, Colombo","Colombo","Galle Gladiators","bat","MW Forde","HDPK Dharmasena","RR Wimalasiri","RA Kottahachchi","RMPJ Rambukwella","GF Labrooy","Dambulla Aura",NA,NA,4,NA,NA
1324539,6,"Kandy Falcons","Jaffna Kings","male","2022/23",2022-12-21,"Lanka Premier League",NA,"R Premadasa Stadium, Colombo","Colombo","Kandy Falcons","bat","V Viyaskanth","HDPK Dharmasena","RSA Palliyaguruge","RMPJ Rambukwella","RR Wimalasiri","WC Labrooy","Jaffna Kings",24,"D/L",NA,NA,NA
1324540,6,"Galle Gladiators","Colombo Stars","male","2022/23",2022-12-21,"Lanka Premier League",NA,"R Premadasa Stadium, Colombo","Colombo","Colombo Stars","field","RS Bopara","LE Hannibal","RMPJ Rambukwella","IC Soysa","RSA Palliyaguruge","GF Labrooy","Colombo Stars",NA,NA,7,NA,NA
