"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"HK Matthews",2023-09-02,"Barbados Royals","Trinbago Knight Riders",2,19,12,4,0,158.333333333333,FALSE,"Women's Caribbean Premier League",2023,1380590,"Kensington Oval, Bridgetown, Barbados","Bridgetown","Trinbago Knight Riders","Barbados Royals","Trinbago Knight Riders","bat","EA Burns","Barbados Royals","6",NA
"SW Bates",2023-09-09,"Guyana Amazon Warriors","Trinbago Knight Riders",2,18,18,2,0,100,FALSE,"Women's Caribbean Premier League",2023,1380594,"Brian Lara Stadium, Tarouba, Trinidad","Tarouba","Trinbago Knight Riders","Guyana Amazon Warriors","Trinbago Knight Riders","bat","K Ramharack","Guyana Amazon Warriors","9",NA
"HK Matthews",2022-08-31,"Barbados Royals","Trinbago Knight Riders",2,18,16,3,0,112.5,FALSE,"Women's Caribbean Premier League",2022,1323178,"Warner Park, Basseterre, St Kitts","Basseterre","Trinbago Knight Riders","Barbados Royals","Trinbago Knight Riders","bat","LAGL Kirby","Trinbago Knight Riders",NA,"1"
"L Harris",2023-09-03,"Barbados Royals","Guyana Amazon Warriors",2,18,6,0,3,300,FALSE,"Women's Caribbean Premier League",2023,1380591,"Kensington Oval, Bridgetown, Barbados","Bridgetown","Guyana Amazon Warriors","Barbados Royals","Guyana Amazon Warriors","bat","EA Burns","Barbados Royals","3",NA
"S Luus",2022-08-31,"Trinbago Knight Riders","Barbados Royals",1,17,23,1,0,73.9130434782609,FALSE,"Women's Caribbean Premier League",2022,1323178,"Warner Park, Basseterre, St Kitts","Basseterre","Trinbago Knight Riders","Barbados Royals","Trinbago Knight Riders","bat","LAGL Kirby","Trinbago Knight Riders",NA,"1"
"SR Taylor",2023-09-09,"Guyana Amazon Warriors","Trinbago Knight Riders",2,17,8,2,1,212.5,TRUE,"Women's Caribbean Premier League",2023,1380594,"Brian Lara Stadium, Tarouba, Trinidad","Tarouba","Trinbago Knight Riders","Guyana Amazon Warriors","Trinbago Knight Riders","bat","K Ramharack","Guyana Amazon Warriors","9",NA
"RS Williams",2022-09-03,"Guyana Amazon Warriors","Barbados Royals",1,16,27,1,0,59.2592592592593,FALSE,"Women's Caribbean Premier League",2022,1323180,"Warner Park, Basseterre, St Kitts","Basseterre","Guyana Amazon Warriors","Barbados Royals","Barbados Royals","field","Q Joseph","Barbados Royals","4",NA
"SA Campbelle",2022-09-03,"Guyana Amazon Warriors","Barbados Royals",1,16,25,0,0,64,FALSE,"Women's Caribbean Premier League",2022,1323180,"Warner Park, Basseterre, St Kitts","Basseterre","Guyana Amazon Warriors","Barbados Royals","Barbados Royals","field","Q Joseph","Barbados Royals","4",NA
"M Kelly",2023-09-05,"Trinbago Knight Riders","Guyana Amazon Warriors",2,16,16,3,0,100,FALSE,"Women's Caribbean Premier League",2023,1380592,"Queen's Park Oval, Port of Spain, Trinidad","Port of Spain","Guyana Amazon Warriors","Trinbago Knight Riders","Guyana Amazon Warriors","bat","SFM Devine","Guyana Amazon Warriors",NA,"21"
"SW Bates",2023-09-05,"Guyana Amazon Warriors","Trinbago Knight Riders",1,16,14,3,0,114.285714285714,FALSE,"Women's Caribbean Premier League",2023,1380592,"Queen's Park Oval, Port of Spain, Trinidad","Port of Spain","Guyana Amazon Warriors","Trinbago Knight Riders","Guyana Amazon Warriors","bat","SFM Devine","Guyana Amazon Warriors",NA,"21"
"Kycia A Knight",2023-09-02,"Trinbago Knight Riders","Barbados Royals",1,15,20,1,0,75,FALSE,"Women's Caribbean Premier League",2023,1380590,"Kensington Oval, Bridgetown, Barbados","Bridgetown","Trinbago Knight Riders","Barbados Royals","Trinbago Knight Riders","bat","EA Burns","Barbados Royals","6",NA
"A Wellington",2023-09-03,"Barbados Royals","Guyana Amazon Warriors",2,15,11,2,0,136.363636363636,TRUE,"Women's Caribbean Premier League",2023,1380591,"Kensington Oval, Bridgetown, Barbados","Bridgetown","Guyana Amazon Warriors","Barbados Royals","Guyana Amazon Warriors","bat","EA Burns","Barbados Royals","3",NA
"Kycia A Knight",2023-09-09,"Trinbago Knight Riders","Guyana Amazon Warriors",1,13,22,1,0,59.0909090909091,FALSE,"Women's Caribbean Premier League",2023,1380594,"Brian Lara Stadium, Tarouba, Trinidad","Tarouba","Trinbago Knight Riders","Guyana Amazon Warriors","Trinbago Knight Riders","bat","K Ramharack","Guyana Amazon Warriors","9",NA
"NY McLean",2023-08-31,"Guyana Amazon Warriors","Barbados Royals",1,13,8,0,1,162.5,TRUE,"Women's Caribbean Premier League",2023,1380589,"Kensington Oval, Bridgetown, Barbados","Bridgetown","Guyana Amazon Warriors","Barbados Royals","Guyana Amazon Warriors","bat","SFM Devine","Barbados Royals","6",NA
"S Luus",2022-09-04,"Trinbago Knight Riders","Barbados Royals",1,12,16,1,0,75,FALSE,"Women's Caribbean Premier League",2022,1323181,"Warner Park, Basseterre, St Kitts","Basseterre","Trinbago Knight Riders","Barbados Royals","Barbados Royals","field","DJS Dottin","Trinbago Knight Riders",NA,"10"
