"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"HC Knight",2023-03-08,"Gujarat Giants","Royal Challengers Bangalore",1,"2.0",0,17,2,8.5,2,"Women's Premier League","2022/23",1358934,"Brabourne Stadium, Mumbai","Mumbai","Gujarat Giants","Royal Challengers Bangalore","Gujarat Giants","bat","SIR Dunkley","Gujarat Giants",NA,"11"
"M Kapp",2024-03-13,"Gujarat Giants","Delhi Capitals",1,"4.0",0,17,2,4.25,18,"Women's Premier League","2023/24",1417735,"Arun Jaitley Stadium, Delhi","Delhi","Gujarat Giants","Delhi Capitals","Gujarat Giants","bat","Shafali Verma","Delhi Capitals","7",NA
"SR Patil",2023-03-18,"Gujarat Giants","Royal Challengers Bangalore",1,"2.0",0,17,2,8.5,5,"Women's Premier League","2022/23",1358944,"Brabourne Stadium, Mumbai","Mumbai","Gujarat Giants","Royal Challengers Bangalore","Gujarat Giants","bat","SFM Devine","Royal Challengers Bangalore","8",NA
"AC Kerr",2023-03-14,"Gujarat Giants","Mumbai Indians",2,"4.0",0,18,2,4.5,12,"Women's Premier League","2022/23",1358940,"Brabourne Stadium, Mumbai","Mumbai","Mumbai Indians","Gujarat Giants","Gujarat Giants","field","H Kaur","Mumbai Indians",NA,"55"
"AC Kerr",2023-03-26,"Delhi Capitals","Mumbai Indians",1,"4.0",0,18,2,4.5,15,"Women's Premier League","2022/23",1358950,"Brabourne Stadium, Mumbai","Mumbai","Delhi Capitals","Mumbai Indians","Delhi Capitals","bat","NR Sciver-Brunt","Mumbai Indians","7",NA
"HK Matthews",2024-03-15,"Royal Challengers Bangalore","Mumbai Indians",1,"4.0",0,18,2,4.5,10,"Women's Premier League","2023/24",1417736,"Arun Jaitley Stadium, Delhi","Delhi","Royal Challengers Bangalore","Mumbai Indians","Royal Challengers Bangalore","bat","EA Perry","Royal Challengers Bangalore",NA,"5"
"KJ Garth",2023-03-16,"Delhi Capitals","Gujarat Giants",2,"4.0",0,18,2,4.5,13,"Women's Premier League","2022/23",1358942,"Brabourne Stadium, Mumbai","Mumbai","Gujarat Giants","Delhi Capitals","Delhi Capitals","field","A Gardner","Gujarat Giants",NA,"11"
"NR Sciver-Brunt",2024-03-15,"Royal Challengers Bangalore","Mumbai Indians",1,"4.0",0,18,2,4.5,14,"Women's Premier League","2023/24",1417736,"Arun Jaitley Stadium, Delhi","Delhi","Royal Challengers Bangalore","Mumbai Indians","Royal Challengers Bangalore","bat","EA Perry","Royal Challengers Bangalore",NA,"5"
"A Gardner",2023-03-16,"Delhi Capitals","Gujarat Giants",2,"3.4",0,19,2,5.18181818181818,13,"Women's Premier League","2022/23",1358942,"Brabourne Stadium, Mumbai","Mumbai","Gujarat Giants","Delhi Capitals","Delhi Capitals","field","A Gardner","Gujarat Giants",NA,"11"
"TP Kanwar",2024-03-13,"Delhi Capitals","Gujarat Giants",2,"4.0",1,20,2,5,12,"Women's Premier League","2023/24",1417735,"Arun Jaitley Stadium, Delhi","Delhi","Gujarat Giants","Delhi Capitals","Gujarat Giants","bat","Shafali Verma","Delhi Capitals","7",NA
"S Pandey",2023-03-20,"Mumbai Indians","Delhi Capitals",1,"4.0",0,21,2,5.25,12,"Women's Premier League","2022/23",1358946,"Dr DY Patil Sports Academy, Mumbai","Navi Mumbai","Mumbai Indians","Delhi Capitals","Delhi Capitals","field","M Kapp","Delhi Capitals","9",NA
"TP Kanwar",2024-02-25,"Mumbai Indians","Gujarat Giants",2,"4.0",0,21,2,5.25,11,"Women's Premier League","2023/24",1417718,"M Chinnaswamy Stadium, Bengaluru","Bengaluru","Gujarat Giants","Mumbai Indians","Mumbai Indians","field","AC Kerr","Mumbai Indians","5",NA
"AC Kerr",2023-03-18,"UP Warriorz","Mumbai Indians",2,"4.0",0,22,2,5.5,14,"Women's Premier League","2022/23",1358943,"Dr DY Patil Sports Academy, Mumbai","Navi Mumbai","Mumbai Indians","UP Warriorz","UP Warriorz","field","DB Sharma","UP Warriorz","5",NA
"DB Sharma",2024-03-11,"Gujarat Giants","UP Warriorz",1,"4.0",0,22,2,5.5,9,"Women's Premier League","2023/24",1417733,"Arun Jaitley Stadium, Delhi","Delhi","Gujarat Giants","UP Warriorz","Gujarat Giants","bat","SM Shakil","Gujarat Giants",NA,"8"
"A Capsey",2024-02-23,"Mumbai Indians","Delhi Capitals",2,"2.0",0,23,2,11.5,4,"Women's Premier League","2023/24",1417716,"M Chinnaswamy Stadium, Bengaluru","Bengaluru","Delhi Capitals","Mumbai Indians","Mumbai Indians","field","H Kaur","Mumbai Indians","4",NA
