"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"SA Britton",6,"37.0",4,166,7,23.7142857142857,4.48648648648649,31.7142857142857,141,0,1,"5/23"
"Surya Anand",7,"39.0",6,169,7,24.1428571428571,4.33333333333333,33.4285714285714,159,1,0,"4/33"
"AM Kimote",7,"34.5",3,171,7,24.4285714285714,4.90909090909091,29.8571428571429,137,0,0,"2/20"
"R Wilson",4,"30.0",1,174,7,24.8571428571429,5.8,25.7142857142857,94,0,1,"5/42"
"T Koen",4,"29.0",0,174,7,24.8571428571429,6,24.8571428571429,80,0,0,"3/27"
"R Rohan",9,"33.0",4,177,7,25.2857142857143,5.36363636363636,28.2857142857143,116,0,0,"2/26"
"JO Holder",4,"32.0",1,178,7,25.4285714285714,5.5625,27.4285714285714,112,0,0,"3/26"
"LC Le Tissier",4,"35.0",1,185,7,26.4285714285714,5.28571428571429,30,113,1,0,"4/36"
"P Ochan",6,"41.5",4,188,7,26.8571428571429,4.49402390438247,35.8571428571429,167,0,0,"2/34"
"CF Snyman",6,"37.0",4,207,7,29.5714285714286,5.59459459459459,31.7142857142857,130,0,0,"2/12"
"MA Chambers",5,"31.1",0,208,7,29.7142857142857,6.67379679144385,26.7142857142857,89,0,0,"3/29"
"Tamoor Sajjad",7,"51.2",3,210,7,30,4.09090909090909,44,194,0,0,"2/33"
"A Cawley",5,"37.0",1,213,7,30.4285714285714,5.75675675675676,31.7142857142857,121,0,0,"3/60"
"Z Groenewald",7,"52.0",2,225,7,32.1428571428571,4.32692307692308,44.5714285714286,177,0,0,"3/42"
"HR Walsh",7,"49.0",2,227,7,32.4285714285714,4.63265306122449,42,156,0,0,"2/24"
"MS Johal",6,"41.4",2,228,7,32.5714285714286,5.472,35.7142857142857,139,0,0,"2/35"
"A Bulow",8,"42.5",2,238,7,34,5.55642023346303,36.7142857142857,152,0,0,"2/30"
"A Sidhu",8,"38.5",1,244,7,34.8571428571429,6.28326180257511,33.2857142857143,115,0,0,"2/24"
"OJ Price",13,"44.0",0,257,7,36.7142857142857,5.84090909090909,37.7142857142857,120,0,0,"2/12"
"Anwar Ali",9,"51.0",0,263,7,37.5714285714286,5.15686274509804,43.7142857142857,148,0,0,"3/38"
"CF Hartley",6,"46.0",0,263,7,37.5714285714286,5.71739130434783,39.4285714285714,128,0,0,"2/23"
"DA Griffiths",7,"50.3",0,274,7,39.1428571428571,5.42574257425743,43.2857142857143,153,0,0,"2/29"
"DM Gondaria",13,"58.5",0,277,7,39.5714285714286,4.70821529745042,50.4285714285714,200,0,0,"2/17"
"SA Piolet",7,"58.0",0,277,7,39.5714285714286,4.77586206896552,49.7142857142857,159,0,0,"2/35"
"M Labuschagne",6,"48.0",0,289,7,41.2857142857143,6.02083333333333,41.1428571428571,127,0,0,"3/46"
"MB Harris",4,"39.0",0,289,7,41.2857142857143,7.41025641025641,33.4285714285714,102,0,0,"3/98"
"A Virdi",8,"50.0",0,290,7,41.4285714285714,5.8,42.8571428571429,145,0,0,"3/38"
"SJC McAlindon",7,"48.0",3,295,7,42.1428571428571,6.14583333333333,41.1428571428571,152,1,0,"4/29"
"JP McIlroy",8,"68.0",6,307,7,43.8571428571429,4.51470588235294,58.2857142857143,237,0,0,"2/13"
"GP Meade",10,"55.2",3,309,7,44.1428571428571,5.58433734939759,47.4285714285714,191,0,0,"2/39"
"GE Kidd",7,"56.4",6,312,7,44.5714285714286,5.50588235294118,48.5714285714286,187,0,0,"3/31"
"GM Andrew",8,"47.3",1,315,7,45,6.63157894736842,40.7142857142857,125,0,0,"2/32"
"VR Aaron",6,"51.0",1,326,7,46.5714285714286,6.3921568627451,43.7142857142857,153,1,0,"4/31"
"WL Madsen",17,"77.2",6,400,7,57.1428571428571,5.17241379310345,66.2857142857143,239,0,0,"2/26"
"MH McKiernan",14,"69.0",0,438,7,62.5714285714286,6.34782608695652,59.1428571428571,161,0,0,"1/14"
"RAJ Smith",11,"67.2",2,451,7,64.4285714285714,6.6980198019802,57.7142857142857,203,0,0,"2/12"
"Mohammed Asghar",3,"18.0",5,29,6,4.83333333333333,1.61111111111111,18,92,1,0,"4/13"
"Imran Arif",2,"12.0",2,42,6,7,3.5,12,49,1,0,"4/4"
"RL Bhudia",2,"14.0",1,49,6,8.16666666666667,3.5,14,63,0,1,"5/21"
"HG Mohammed",2,"12.4",0,50,6,8.33333333333333,3.94736842105263,12.6666666666667,52,1,0,"4/10"
"Shoaib Sarwar",2,"19.0",3,54,6,9,2.84210526315789,19,82,0,1,"5/23"
"Hamid Hassan",2,"16.0",1,57,6,9.5,3.5625,16,67,1,0,"4/32"
"Zeeshan Siddiqui",5,"13.0",0,59,6,9.83333333333333,4.53846153846154,13,42,0,0,"3/24"
"W Uisuk",3,"16.0",2,69,6,11.5,4.3125,16,71,1,0,"4/19"
"Salman Nazar",3,"23.5",5,71,6,11.8333333333333,2.97902097902098,23.8333333333333,105,0,0,"3/27"
"Mohamed Mahfooz",3,"22.0",2,76,6,12.6666666666667,3.45454545454545,22,92,1,0,"4/16"
"Dawlat Zadran",3,"17.1",2,77,6,12.8333333333333,4.48543689320388,17.1666666666667,77,1,0,"4/26"
"A Hepburn",2,"18.5",2,78,6,13,4.14159292035398,18.8333333333333,71,1,0,"4/34"
"N Master",4,"27.0",4,80,6,13.3333333333333,2.96296296296296,27,129,0,0,"3/15"
"ML Granger",3,"23.0",3,89,6,14.8333333333333,3.8695652173913,23,96,0,0,"3/46"
"TE Minty",3,"19.5",3,89,6,14.8333333333333,4.48739495798319,19.8333333333333,76,1,0,"4/32"
"PM Ryan",2,"17.2",1,95,6,15.8333333333333,5.48076923076923,17.3333333333333,69,1,0,"4/49"
"Amir Hamza",4,"27.2",4,96,6,16,3.51219512195122,27.3333333333333,109,0,0,"2/26"
"Haroon Shahid",4,"31.0",5,100,6,16.6666666666667,3.2258064516129,31,138,0,0,"3/25"
"Faheem Afrad",3,"20.3",4,103,6,17.1666666666667,5.02439024390244,20.5,79,0,0,"2/21"
"M Taniyama",3,"24.0",2,103,6,17.1666666666667,4.29166666666667,24,93,0,1,"5/55"
"LJ Cush",4,"26.3",1,104,6,17.3333333333333,3.92452830188679,26.5,103,1,0,"4/30"
"Abdullah Ghulam",3,"18.0",2,105,6,17.5,5.83333333333333,18,70,0,1,"5/18"
"K Ganesh",4,"31.0",3,107,6,17.8333333333333,3.45161290322581,31,121,0,0,"2/4"
"Saad Khalid",4,"24.5",1,108,6,18,4.3489932885906,24.8333333333333,101,0,0,"3/50"
"AM Guruge",3,"21.0",2,110,6,18.3333333333333,5.23809523809524,21,77,0,0,"3/41"
"G Goudie",3,"26.0",2,111,6,18.5,4.26923076923077,26,98,0,0,"2/33"
"Feng Yu",3,"15.0",0,115,6,19.1666666666667,7.66666666666667,15,45,0,1,"6/77"
"W Viraliliu",7,"39.0",8,116,6,19.3333333333333,2.97435897435897,39,182,0,0,"2/11"
"Kabir Ali",3,"22.0",1,117,6,19.5,5.31818181818182,22,74,0,0,"3/26"
"Yaqoob Ali",4,"29.0",0,122,6,20.3333333333333,4.20689655172414,29,109,0,0,"3/35"
"Imran Tahir",3,"29.0",1,126,6,21,4.3448275862069,29,86,0,0,"3/38"
"Abdul Jabar",4,"34.0",4,128,6,21.3333333333333,3.76470588235294,34,141,0,0,"2/9"
"S Appusamy",6,"34.0",5,129,6,21.5,3.79411764705882,34,143,0,0,"3/24"
"M Aboagye",5,"32.2",2,138,6,23,4.2680412371134,32.3333333333333,104,0,0,"2/20"
"P Burger",5,"35.1",0,139,6,23.1666666666667,3.95260663507109,35.1666666666667,133,0,0,"3/17"
"T Alatasi",4,"26.4",2,139,6,23.1666666666667,5.2125,26.6666666666667,104,0,0,"3/51"
"Yasir Iqbal",7,"30.0",0,145,6,24.1666666666667,4.83333333333333,30,106,1,0,"4/29"
"Charanjeet Singh",5,"34.0",2,147,6,24.5,4.32352941176471,34,114,1,0,"4/24"
"H Patel",7,"43.0",3,163,6,27.1666666666667,3.7906976744186,43,153,0,0,"2/16"
"TE Linley",3,"23.1",0,169,6,28.1666666666667,7.29496402877698,23.1666666666667,62,0,0,"3/68"
"HJ Manenti",4,"30.0",3,184,6,30.6666666666667,6.13333333333333,30,113,0,0,"3/79"
"AS Dale",5,"36.0",2,190,6,31.6666666666667,5.27777777777778,36,127,1,0,"4/58"
"THS Pettman",4,"30.0",2,191,6,31.8333333333333,6.36666666666667,30,106,1,0,"4/44"
"B Muzarabani",5,"37.4",1,193,6,32.1666666666667,5.12389380530974,37.6666666666667,116,0,0,"3/28"
"HA Sullivan",4,"36.0",1,193,6,32.1666666666667,5.36111111111111,36,101,0,0,"2/23"
"GW Thomas",7,"35.0",0,205,6,34.1666666666667,5.85714285714286,35,101,0,0,"2/42"
"J Harrison",4,"35.0",2,212,6,35.3333333333333,6.05714285714286,35,110,1,0,"4/40"
