"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"HE Jones",2024-04-27,"Western Storm","Thunder",1,"6.0",1,36,0,6,21,"Rachael Heyhoe Flint Trophy","2024","1427816","Old Trafford, Manchester","Manchester","Western Storm","Thunder","Thunder","field",NA,"Western Storm",NA,"66"
"IECM Wong",2023-07-15,"Northern Diamonds","Central Sparks",1,"5.0",1,36,0,7.2,19,"Rachael Heyhoe Flint Trophy","2023","1347434","Headingley, Leeds","Leeds","Northern Diamonds","Central Sparks","Central Sparks","field",NA,"Central Sparks","5",NA
"K Moore",2023-07-11,"Sunrisers","South East Stars",2,"8.5",0,36,0,4.07547169811321,32,"Rachael Heyhoe Flint Trophy","2023","1347431","Kent County Cricket Ground, Beckenham","Beckenham","South East Stars","Sunrisers","South East Stars","bat",NA,"South East Stars",NA,"19"
"KE Bryce",2023-07-02,"Western Storm","The Blaze",2,"8.0",1,36,0,4.5,27,"Rachael Heyhoe Flint Trophy","2023","1347423","County Ground, Bristol","Bristol","The Blaze","Western Storm","Western Storm","field",NA,"The Blaze",NA,"6"
"KL George",2024-05-01,"Sunrisers","Central Sparks",2,"5.0",0,36,0,7.2,18,"Rachael Heyhoe Flint Trophy","2024","1427819","Chester Road North Ground, Kidderminster","Kidderminster","Central Sparks","Sunrisers","Sunrisers","field",NA,"Sunrisers","5",NA
"L Filer",2022-07-23,"South East Stars","Western Storm",1,"4.0",0,36,0,9,12,"Rachael Heyhoe Flint Trophy","2022","1297940","College Ground, Cheltenham","Cheltenham","South East Stars","Western Storm","South East Stars","bat",NA,"South East Stars",NA,"36"
"MK Villiers",2023-07-11,"South East Stars","Sunrisers",1,"5.0",0,36,0,7.2,17,"Rachael Heyhoe Flint Trophy","2023","1347431","Kent County Cricket Ground, Beckenham","Beckenham","South East Stars","Sunrisers","South East Stars","bat",NA,"South East Stars",NA,"19"
"N Sibanda",2017-05-11,"India","Zimbabwe",2,"6.0",0,36,0,6,19,"Women's Quadrangular Series (in South Africa)","2017","1089525","North-West University No1 Ground","Potchefstroom","India","Zimbabwe","Zimbabwe","bat","RS Gayakwad","India","9",NA
"O Prendergast",2023-05-01,"South East Stars","Western Storm",1,"4.0",0,36,0,9,11,"Rachael Heyhoe Flint Trophy","2023","1347414","County Ground, Bristol","Bristol","South East Stars","Western Storm","South East Stars","bat",NA,"South East Stars",NA,"207"
"S Luus",2017-02-08,"Scotland","South Africa",1,"8.0",0,36,0,4.5,31,"ICC Women's World Cup Qualifier","2016/17","1073407","Mercantile Cricket Association Ground","Colombo","Scotland","South Africa","Scotland","bat","A Khaka","South Africa","6",NA
