"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"LM Reece",2019-04-21,"Nottinghamshire","Derbyshire",2,"9.0",0,44,1,4.88888888888889,21,"Royal London One-Day Cup","2019",1167069,"County Ground, Derby","Derby","Derbyshire","Nottinghamshire","Derbyshire","bat",NA,"Nottinghamshire","6",NA
"LT Nelson",2016-07-31,"Leinster Lightning","Northern Knights",2,"8.0",0,44,1,5.5,26,"Cricket Ireland Inter-Provincial Limited Over Cup","2016",1002149,"Observatory Lane, Rathmines, Dublin","Dublin","Northern Knights","Leinster Lightning","Northern Knights","bat",NA,"Leinster Lightning","4",NA
"M Ansari",2016-11-02,"Italy","Oman",1,"5.0",0,44,1,8.8,15,"ICC World Cricket League Division Four","2016/17",1062508,"Wong Cricket Field, Woodley Park","Los Angeles","Italy","Oman","Italy","bat","Zeeshan Siddiqui","Oman","5",NA
"MG Hogan",2017-05-10,"Middlesex","Glamorgan",1,"10.0",0,44,1,4.4,38,"Royal London One-Day Cup","2017",1068477,"Radlett Cricket Club, Radlett","Radlett","Middlesex","Glamorgan","Middlesex","bat",NA,"Middlesex",NA,"16"
"MH McKiernan",2022-08-12,"Hampshire","Derbyshire",2,"7.0",0,44,1,6.28571428571429,16,"Royal London One-Day Cup","2022",1297987,"County Ground, Derby","Derby","Derbyshire","Hampshire","Hampshire","field",NA,"Hampshire","2",NA
"MS Crane",2015-08-02,"Glamorgan","Hampshire",1,"10.0",0,44,1,4.4,34,"Royal London One-Day Cup","2015",804779,"Sophia Gardens, Cardiff","Cardiff","Glamorgan","Hampshire","Glamorgan","bat",NA,NA,NA,NA
"Muhammad Wafiq",2014-05-07,"Hong Kong","Malaysia",2,"8.1",1,44,1,5.38775510204082,31,"Asian Cricket Council Premier League","2014",736525,"Selangor Turf Club","Kuala Lumpur","Malaysia","Hong Kong","Hong Kong","field","Waqas Barkat","Hong Kong","4",NA
"N Wagner",2018-05-30,"Glamorgan","Essex",1,"8.0",0,44,1,5.5,26,"Royal London One-Day Cup","2018",1127805,"County Ground, Chelmsford","Chelmsford","Glamorgan","Essex","Essex","field",NA,"Essex","9",NA
"NN Odhiambo",2012-10-04,"Namibia","Kenya",2,"9.0",0,44,1,4.88888888888889,36,"ICC World Cricket League Championship","2012/13",555888,"United Cricket Club Ground","Windhoek","Kenya","Namibia","Namibia","field",NA,"Namibia","7",NA
"OD Hald",2019-09-19,"Singapore","Denmark",1,"8.0",0,44,1,5.5,26,"CWC Challenge League","2019",1200442,"Selangor Turf Club","Kuala Lumpur","Denmark","Singapore","Singapore","bat","TH David","Singapore",NA,"36"
"P Sisodiya",2023-08-16,"Gloucestershire","Glamorgan",2,"10.0",1,44,1,4.4,35,"One-Day Cup","2023",1347537,"Sophia Gardens, Cardiff","Cardiff","Glamorgan","Gloucestershire","Glamorgan","bat",NA,"Gloucestershire","5",NA
