"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","umpire1","umpire2","reserve_umpire","winner","winner_wickets","player_of_match","winner_runs","tv_umpire","match_referee","method","outcome"
1252280,6,"Western Storm","Northern Diamonds","female","2021",2021-09-10,"Rachael Heyhoe Flint Trophy",NA,"Riverside Ground, Chester-le-Street","Chester-le-Street","Northern Diamonds","field","James Middlebrook","L Nenova",NA,"Northern Diamonds",7,NA,NA,NA,NA,NA,NA
1252281,6,"South East Stars","Lightning","female","2021",2021-09-10,"Rachael Heyhoe Flint Trophy",NA,"Kent County Cricket Ground, Beckenham","Beckenham","South East Stars","bat","NA Mallender","S McLelland",NA,"South East Stars",NA,NA,28,NA,"DW Headley",NA,NA
1252282,6,"Sunrisers","Central Sparks","female","2021",2021-09-10,"Rachael Heyhoe Flint Trophy",NA,"Merchant Taylors' School Ground, Northwood","Northwood","Central Sparks","field","IN Ramage","J Naeem",NA,"Central Sparks",6,NA,NA,NA,"AJ Swann","D/L",NA
1252283,6,"Thunder","Southern Vipers","female","2021",2021-09-10,"Rachael Heyhoe Flint Trophy",NA,"Rookwood, Sale","Sale","Southern Vipers","field","J Ibbotson","M Burns",NA,"Southern Vipers",3,NA,NA,NA,"Phil Whitticase",NA,NA
1252284,6,"Northern Diamonds","Thunder","female","2021",2021-09-12,"Rachael Heyhoe Flint Trophy",NA,"Riverside Ground, Chester-le-Street","Chester-le-Street","Thunder","field","Hassan Adnan","J Ibbotson",NA,"Northern Diamonds",NA,NA,105,NA,"DE Malcolm",NA,NA
1252285,6,"Central Sparks","South East Stars","female","2021",2021-09-12,"Rachael Heyhoe Flint Trophy",NA,"County Ground, New Road, Worcester","Worcester","Central Sparks","bat","James Middlebrook","L Nenova",NA,"Central Sparks",NA,NA,115,NA,"AW Smith",NA,NA
1252286,6,"Western Storm","Lightning","female","2021",2021-09-12,"Rachael Heyhoe Flint Trophy",NA,"County Ground, Bristol","Bristol","Lightning","field","AY Harris","IN Ramage",NA,"Western Storm",NA,NA,62,NA,"DA Cosker",NA,NA
1252287,6,"Southern Vipers","Sunrisers","female","2021",2021-09-12,"Rachael Heyhoe Flint Trophy",NA,"County Ground, Chelmsford","Chelmsford","Sunrisers","field","SM Bartlett","S McLelland",NA,"Southern Vipers",NA,"GA Elwiss",1,NA,"DW Headley",NA,NA
1252288,6,"Lightning","Central Sparks","female","2021",2021-09-18,"Rachael Heyhoe Flint Trophy",NA,"Haslegrave Ground, Loughborough","Loughborough","Central Sparks","field","J Naeem","N Pratt",NA,"Lightning",NA,NA,24,NA,"DW Headley",NA,NA
1252289,6,"Thunder","South East Stars","female","2021",2021-09-18,"Rachael Heyhoe Flint Trophy",NA,"Kent County Cricket Ground, Beckenham","Beckenham","Thunder","bat","Mark Newell","SM Bartlett",NA,"Thunder",NA,NA,55,NA,"DE Malcolm",NA,NA
